मनश्शोधनं करणीयम्।|Purification of the mind should be done.|मन की शुद्धि करनी चाहिए।
वेणुध्वनिः नास्ति स्पष्टः भवतः।|Your flute does not have a clear sound.|तुम्हारी बांसुरी की ध्वनि स्पष्ट नहीं है।
मकरसङ्क्रान्त्युत्सवम् आचरिष्यामः।|We will celebrate the festival of Makara Sankraanti.|हम मकर संक्रांति का त्योहार मनाएँगे।
आरक्षकाः अपि तं न गृह्णन्ति।|Even the police/guards do not arrest him.|रक्षक भी उसे नहीं पकड़ते।
राष्ट्राध्यक्षाय राष्ट्रमेव प्रथमं स्यात्।|For the President, nation must come first.|राष्ट्राध्यक्ष के लिए देश ही पहला होना चाहिए।
देशे यूनां चरित्रनिर्माणं महदावश्यकम्।|In the country, character-building of youth is paramount.|देश में युवाओं का चरित्र निर्माण बहुत आवश्यक है।
रात्रौ कम्पमानां रज्जुं दृष्ट्वा भीतः सः।|Upon seeing the shaking rope at night, he got scared.| रात्रि में हिलती रस्सी को देखकर वह डर गया।
वाहनस्य अग्रदीपं प्रज्ज्वालय।|Light the front lamp of the vehicle.|गाड़ी के सामने की बत्ती जलाओ।
भवत्याः मूलस्थानं किमस्ति।|What is your native place?|तुम्हारा मूल स्थान क्या है। 
चटका चञ्च्वा अपत्यानि खादयति।|The sparrow feeds its chicks by his beak.|चिड़िया अपने बच्चों को चोंच से खिलाती है।
सर्पाः अपत्यरक्षणं न कुर्वन्ति।|Snakes do not take care of their offspring.|सांप अपने बच्चों की देखभाल नहीं करते।
दशाधिकपञ्चवादनम् इति समयः।|It is ten minutes past five.|दस बजकर पांच मिनट हो गए।
अस्मज्जन्म कथं सार्थकं स्यात्।|How can our birth be meaningful?|हमारा जन्म कैसे सार्थक हो सकता है। 
प्रतिदिनं कांश्चन पृष्ठान् अधीष्व।|Every day, read a few pages.|हर दिन कुछ पृष्ठों को पढ़ो।
शूलेन वक्षसि प्राहरत्।|He struck his chest with a spear (shoola).|वह भाले से छाती पर प्रहार करता है।
पीतवर्णीययुतकधारी अगमत्किमितः।|Did any one with a yellow shirt go from here?|कोई पीले वस्त्र पहने हुआ यहाँ से गया क्या। 
एकचषकपरिमितं चायं पिबति मातामही।|Maternal grand mother drinks a cupful of tea.|नानी एक कप चाय पीती है।
यः हस्तम् उत्तोलयति तम् आह्वय।|Whoever raises their hand, call/invite them.|जो भी हाथ उठाता है उसे बुलाओ।
सूर्यनमस्कारान् कुरु दृढं भवेत् शरीरम्।|Do Suryanamaskaara;  body becomes fit.|शरीर स्वस्थ रखने के लिए सूर्य नमस्कार करो।
खेलन् शिशुः हसति।|The child laughs while playing.|खेलते समय बच्चा हँसता है।
समूहनायकः सर्वान् नियमान् बोधयति।|The leader informs everyone of the rules.|नेता सभी को नियम समझाता है।
