तव मुखस्य कान्तिः क्षीणा।|The lustre of your face has diminished.|तुम्हारे मुख की चमक घट गई है।
पाञ्चाल्याः प्रतिशोधः घोरः।|Panchali's (the wife of Pandavas) revenge was terrible.|पांचाली का प्रतिशोध भयंकर था।
चटकः नीडं रचयति।|The sparrow builds a nest.|गौरैया घोंसला बनाती है।
यन्त्रस्य घर्घरध्वनिः श्रूयते।|The rattling sound of the machine is heard.|यंत्र की घरघराहट सुनाई देती है।
नक्षत्राणां पङ्क्तिः सप्तर्षयः।|The line of stars is the Saptarishi (Big Dipper).|नक्षत्रों की पंक्ति सप्तर्षि है।
सा पतिं प्रणम्य प्रस्थिता।|Having bowed to the husband, she departed.|वह पति को प्रणाम करके चल पड़ी।
तस्य कटुवाक्यं हृदि व्यथते।|His harsh talk pains in the heart.|उसके कटु वचन हृदय में दुःखते हैं।
पक्वबिम्बफलम् अधरः इव।|The ripe ivy gourd is like a lip.|पकी हुई कुंदुरी होंठ जैसी है।
मार्जारः मूषकं जिघृक्षति।|The tomcat wants to catch the mouse.|बिल्ला चूहे को पकड़ना चाहता है।
भ्रातॄणां कलहः अनुचितः।|A quarrel among brothers is improper.|भाईयों का कलह अनुचित है।
इयं केवला किंवदन्ती।|This is only a tale.|यह केवल एक जनश्रुति है।
किङ्किण्याः स्वनः श्रूयते।|The sound of a small bell is heard.|घुँघरू की ध्वनि सुनाई दे रही है।
लोष्टः जले निमज्जति।|A clod of earth sinks in the water.|मिट्टी का ढेला पानी में डूबता है।
सः निःस्पृहः जीवनं यापयति।|He spends his life free from desire.|वह इच्छा रहित जीवन बिताता है।
चाणक्यस्य मतिः तीक्ष्णा।|Chanakya's intellect was sharp.|चाणक्य की बुद्धि तीक्ष्ण थी।
अश्वः वल्गां छिनत्ति।|The horse breaks the reins.|घोड़ा अंकुश तोड़ता है।
करस्य रेखासु किं लिखितम्।|What is written in the lines of the hand?|हाथ की रेखाओं में क्या लिखा है।
अद्य दिनाङ्कः कः।|What is the date today?|आज क्या दिनांक है।
नद्याः तटे कार्पासस्य कृषिः।|On the bank of the river, there is cotton cultivation.|नदी के किनारे कपास की खेती है।
सा स्वपुत्रं सान्त्वयति।|She is consoling her son.|वह अपने पुत्र को सांत्वना दे रही है।
वृद्धस्य चिबुकं कम्पते।|The old man's chin trembles.|वृद्ध की ठोड़ी काँपती है।
गर्दभः भारं न गणयति।|The donkey does not count the load.|गधा भार नहीं गिनता।
शैत्येन जलं घनीभवति।|Water solidifies due to cold.|ठंड से जल ठोस बन जाता है।
मषकाः कर्णमूले गायन्ति।|Mosquitoes are singing near the ear.|मच्छर कान के पास गा रहे हैं।
तक्षकः नागराजः अस्ति।|Takshaka is the king of the Nagas.|तक्षक नागों का राजा है।
अयं ग्रन्थः दुरूहः अस्ति।|This book is difficult to understand.|यह ग्रंथ समझने में कठिन है।
इदानीं मम गन्तुम् इच्छा नास्ति।|Right now, I don't have the desire to go.|अभी मेरी जाने की इच्छा नहीं है।
माता ओदनं परिवेषयति।|The mother is serving the rice.|माता भात परोस रही हैं।
तस्याः कर्णे कुण्डलं दोलायते।|The earring swings in her ear.|उसके कान में कुंडल झूल रहा है।
वृश्चिकस्य विषं घातकम्।|The poison of a scorpion is lethal.|बिच्छू का विष घातक होता है।
सः विषण्णः इतस्ततः भ्रमति।|Sad, he wanders here and there.|दुःखी (होकर) वह यहाँ-वहाँ घूमता है।
कपोतः कण्ठेन कूजति।|The pigeon coos through the throat.|कबूतर कंठ से कूजता है।
चुल्लीतः धूमः निर्गच्छति।|Smoke is coming out of the hearth.|चूल्हे से धुआँ निकल रहा है।
वार्तालापेन वैरं शाम्यति।|Enmity is pacified by conversation.|बातचीत से बैर शांत होता है।
पारावतः शान्तेः दूतः।|The pigeon is the messenger of peace.|कबूतर शांति का दूत है।
अहं त्वां सम्यक् न शृणोमि।|I cannot hear you properly.|मैं तुम्हें ठीक से नहीं सुन पा रहा हूँ।
अरण्ये श्वापदानां भयम्।|In the forest, there is fear of beasts.|वन में हिंसक पशुओं का भय है।
शिशुः प्रसूनं हस्ते धरति।|The child holds a flower in the hand.|शिशु हाथ में फूल पकड़े है।
वैकुण्ठे विष्णुः निवसति।|Vishnu resides in Vaikuntha.|वैकुंठ में विष्णु निवास करते हैं।
तस्याः जल्पनेन शिरोवेदना भवति।|There happens a headache due to her blabbering.|उसकी बकबक से सिर में पीड़ा होती है।
सः दारिद्र्येण ग्रस्तः अस्ति।|He is afflicted by poverty.|वह दरिद्रता से ग्रस्त है।
रजकः पटे शुभ्रतां ददाति।|The washerman gives whiteness to the cloth.|धोबी कपड़े को श्वेतत्व देता है।
लतायां नवपल्लवाः उद्गताः।|New shoots have emerged on the creeper.|लता पर नई कोंपलें फूट आई हैं।
सः स्वल्पम् अपि न लज्जते।|He doesn't hesitate even a little bit.|वह थोड़ा भी नहीं लजाता।
ऊर्णनाभः पुनः जालं तनोति।|The spider weaves its web again.|मकड़ा फिर से जाल बुनता है।
अयं विवादः निष्फलः।|This debate is fruitless.|यह विवाद निष्फल है।
ययातिः स्वजरां पुत्रे न्यदधात्।|Yayati transferred his old age to his son.|ययाति ने अपना बुढ़ापा बेटे में डाल दिया।
सा कटिसूत्रं परिदधाति।|She is wearing a waist-band.|वह कमरधनी पहनती है।
इक्षुदण्डः चर्वणे मिष्टः।|A sugarcane stalk is sweet in chewing.|गन्ने की डंडी चूसने में मीठी है।
वातायनात् मन्दः समीरः आयाति।|A gentle breeze is coming from the window.|खिड़की से मंद वायु आता है।
बालस्य जानुनि व्रणः अस्ति।|There is a wound on the child's knee.|बालक के घुटने पर घाव है।
तस्य अट्टहासः कर्णकटुः।|His loud laughter is harsh to the ears.|उसका अट्टहास कानों के लिए कड़वा है।
अयसः कीलः भित्तौ दृढः।|The iron nail is firm in the wall.|लोहे की कील भित्त में पक्की है।
भवान् अन्यथा मा चिन्तयतु।|You should not think otherwise.|आप अन्यथा न सोचें।
दुन्दुभिः युद्धस्य घोषणा।|The announcement of war by war-drums is made.|नगाड़ों से युद्ध की घोषणा होती है।
काकस्य स्वरः अपशकुनः।|The crow's voice is a bad omen.|कौवे का स्वर अपशकुन है।
अष्टावक्रः पण्डितान् अजयत्।|Ashtavakra defeated the scholars.|अष्टवक्र ने पंडितों को जीत लिया।
वृद्धस्य नाड्यः शिथिलाः।|The old man's veins are weak.|वृद्ध की नसें शिथिल हैं।
त्वम् आत्मानं किं मन्यसे।|What do you think of yourself?|तुम स्वयं को क्या समझते हो।
मरीचिका पान्थान् वञ्चयति।|A mirage deceives travelers.|मृगतृष्णा पथिकों को ठगती है।
बालकस्य जल्पितं श्रुत्वा सा अहसत्।|Hearing the child's babble, she laughed.|बालक की बड़बड़ सुनकर वह हँसी।
सैन्धवं लवणं श्रेष्ठम्।|Rock salt is the best.|सेंधा लवण श्रेष्ठ है।
गृहिणी शूर्पेण धान्यानि शोधयति।|The homemaker is cleaning the grains with a winnowing basket.|गृहिणी सूप से धान चुन रही है।
मर्मज्ञः एव रहस्यं जानाति।|Only a wise one knows the secret.|मर्मज्ञ ही रहस्य जानता है।
नहुषः सर्पयोनिम् आप्नोत्|Nahusha obtained the birth of a serpent.|नहुष को सर्प की योनि मिली।
अहं तव अभिप्रायं न जाने|I do not know your intention.|मैं तुम्हारा अभिप्राय नहीं जानता।
चर्मकारः पादरक्षां निर्माति|The leather-worker is making footwear.|चमार जूता बना रहा है।
सारिका पञ्जरे भाषते|The Myna bird is talking in the cage.|मैना पिंजरे में बोलती है।
यूयं किमर्थम् इत्थं कलहायध्वम्|Why are you all quarreling like this?|तुम सब इस प्रकार क्यों कलह कर रहे हो।
माता अपूपान् पचति|The mother is cooking sweet-cakes.|माता पुए पका रही हैं।
शिशोः अङ्गुलयः नवनीतम् इव|The baby's fingers are like butter.|शिशु की अंगुलियाँ मक्खन जैसी हैं।
वृद्धायाः कण्ठः गद्गदः|The old woman's throat is choked.|वृद्धा का कंठ गद्गद है।
नदीस्रोतसा काष्ठम् उह्यते|A piece of wood is being carried by the river's current.|नदी के प्रवाह से लकड़ी बह रही है।
विमूढः सः मार्गं विस्मरति|Bewildered, he forgets the way.|भ्रमित हो वह मार्ग भूल जाता है।
तस्याः अलकेषु मौक्तिकमाला|There is a string of pearls in her hair curls|उसकी लटों में मोतियों की माला है
वामनः त्रीन् पादान् अयाचत|Vamana asked for three steps (of land)|वामन ने तीन पग (भूमि) माँगी
निपुणः सारथी रथं चालयति|A skilled charioteer drives the chariot|निपुण सारथि रथ चलाता है
कृपया कपटं मा कुरु|Please do not practice deceit|कृपया छल मत करो
आतपेन जलं बाष्पीभवति|Water evaporates due to the sunlight|धूप से पानी भाप बन जाता है
अहं भवन्तं सम्यक् जानामि|I know you well|मैं आपको भली-भाँति जानता हूँ
बाला स्वप्रतिबिम्बं पश्यति|The girl looks at her own reflection|बालिका अपना प्रतिबिंब देखती है
वार्धकस्य लक्षणानि स्फुटानि|The signs of old age are clear|बुढ़ापे के लक्षण स्पष्ट हैं
मृदङ्गस्य ध्वनिः मृदुः|The sound of the mridangam is soft|मृदंग की ध्वनि कोमल है
सः निर्लज्जः इव भाषते|He speaks like a shameless person|वह निर्लज्ज की भांति बोलता है
राहोः शिरः अमरम् अस्ति।|Rahu's head is immortal.|राहु का सिर अमर है।
इन्द्रजालिकः मायावी अस्ति।|The magician is illusory.|इन्द्रजाल रचने वाला मायावी है।
किं वदानि इति न स्फुरति।|It does not occur to me what to say.|क्या कहूँ, यह नहीं सूझता।
श्यामाकः वन्यधान्यम् अस्ति।|The Barnyard millet is a wild grain.|साँवा एक वन का अनाज है।
वृद्धाङ्गना पौत्राय व्यजनं करोति।|The old lady is fanning the grandson.|बुढ़िया पोते को पंखा झल रही है।
त्वं किमपि न श्रावयसि।|You are not telling anything.|तुम कुछ भी नहीं सुनाती।
वृकः मेषयूथम् अपश्यत्।|The wolf saw the flock of sheep.|भेड़िये ने भेड़ों का झुंड देखा।
सः द्यूते सर्वस्वं हारितवान्।|He lost everything in gambling.|वह जुए में सब कुछ हार गया।
कन्यायाः पाणिग्रहणं भविष्यति।|The girl's marriage ceremony will happen.|कन्या का पाणिग्रहण होगा।
नद्योः सङ्गमे तीर्थं भवति।|At the confluence of rivers, a holy place is formed.|नदियों के संगम पर तीर्थ होता है।
शङ्करः कैलासे वसति।|Shankara lives on Kailasa.|शंकर कैलाश पर रहता है।
अहं प्रतिदिनं विद्यालयं गच्छामि।|I go to school every day.|मैं प्रतिदिन विद्यालय जाता हूँ।
पशुः तृणं खादति।|The animal eats grass.|पशु घास खाता है।
सीता फलं आनयति।|Sita brings the fruit.|सीता फल लाती है।
गजः शनैः शनैः चलति।|The elephant walks slowly.|हाथी धीरे-धीरे चलता है।
भवान् कुत्र गच्छति?|Where are you going? (masculine)|आप कहाँ जा रहे हैं?
सूर्यः पूर्वदिशि उदेति।|The sun rises in the east.|सूर्य पूर्व दिशा में उगता है।
अस्माकं देशः भारतवर्षः।|Our country is Bharatavarsha (India).|हमारा देश भारतवर्ष है।
सत्यं वद धर्मं चर।|Speak the truth, follow Dharma.|सत्य बोलो, धर्म का आचरण करो।
नदी पर्वतात् प्रवहति।|The river flows from the mountain.|नदी पर्वत से बहती है।
बालिका मधुरं गायति।|The girl sings sweetly.|लड़की मीठा गाती है।
अध्यापकः पाठयति।|The teacher teaches.|अध्यापक पढ़ाता है।
वृक्षात् पत्रं पतति।|A leaf falls from the tree.|वृक्ष से पत्ता गिरता है।
क्षीरं शीतलं अस्ति।|The milk is cold.|दूध ठंडा है।
किं त्वं लेखं लिखसि?|Are you writing an article?|क्या तुम लेख लिख रहे हो?
पुस्तके ज्ञानं वर्तते।|Knowledge is present in the book.|पुस्तक में ज्ञान होता है।
एषः कः?|Who is this (masculine)?|यह कौन है?
अद्य सोमवासरः अस्ति।|Today is Monday.|आज सोमवार है।
तत्र कोलाहलः मा कुरु।|Don't make noise there.|वहाँ शोर मत करो।
जलमेव जीवनम्।|Water is indeed life.|जल ही जीवन है।
दम्भोलिः वज्रस्य अपरं नाम।|Dambholi is another name for the Vajra (of Indra).|दंभोलि वज्र का दूसरा नाम है।
एतत् तु केवलं व्याजः।|This is just a pretext.|यह तो केवल एक बहाना है। 
गोष्ठे गावः हम्बायन्ते।|The cows are lowing in the cow-shed.|गोशाला में गायें रँभा रही हैं।
का वार्ता वर्तते ग्रामे।|What is the news in the village?|गाँव में क्या समाचार है।
बालः हठेन क्रन्दति।|The child is crying out of stubbornness.|बालक हठ से रो रहा है।
वृद्धः क्षीणस्वरेण वदति।|The old man speaks with a faint voice.|वृद्ध क्षीण स्वर में बोलता है।
सः अविवेकी इव आचरति।|He is behaving like an unwise person.|वह अविवेकी जैसा आचरण कर रहा है।
चुल्ल्याम् इन्धनं क्षिप।|Throw firewood into the hearth.|चूल्हे में ईंधन डालो।
तव मौनं मां बाधते।|Your silence is troubling me.|तुम्हारा मौन मुझे कष्ट दे रहा है।
रजनीचरः इतस्ततः भ्रमति।|The night-wanderer roams here and there.|निशाचर यहाँ-वहाँ घूमता है।
कैकेय्याः वरः दुःखकारणम्।|Kaikeyi's boon was the cause of sorrow.|कैकेयी का वरदान दुःख का कारण था।
कः तव हृदयम् अचूचुरत्।|Who has stolen your heart?|तुम्हारा हृदय किसने चुराया है।
मार्जारी निःशब्दं प्रविशति।|The cat enters silently.|बिल्ली बिना शब्द किए प्रवेश करती है।
गर्भिण्याः दोहदं पूरय।|Fulfill the pregnancy cravings of the pregnant woman.|गर्भवती की इच्छा पूरी करो।
लोष्टेन जलस्य गत्यावरोधः।|The flow of water is blocked by a clod of earth.|मिट्टी के ढेले से जल की गति रुक गई है।
सः प्रलापमिव भाषते।|He is speaking as (if) delirious.|वह प्रलाप जैसा बोल रहा है।
वत्साः अम्बां परितः क्रीडन्ति।|The calves are playing around their mother.|बछड़े अपनी माँ के चारों ओर खेल रहे हैं।
किम् अत्र कोऽपि अस्ति।|Is anyone here?|क्या यहाँ कोई है।
अस्य सूत्रस्य कोऽर्थः।|What is the meaning of this aphorism?|इस सूत्र का क्या अर्थ है।
शल्यः कर्णस्य सारथिः आसीत्।|Shalya was Karna's charioteer.|शल्य कर्ण का सारथि था।
अहं विद्यालयं गच्छामि।|I go to school.|मैं विद्यालय जाता हूँ।
गजः स्थूलः पशुः अस्ति।|The elephant is a large animal.|हाथी एक बड़ा जानवर है।
बालकाः कन्दुकेन क्रीडन्ति।|The boys are playing with a ball.|लड़के गेंद से खेल रहे हैं।
भारतम् अस्माकं देशः अस्ति।|India is our country.|भारत हमारा देश है।
गंगा एका पवित्रा नदी अस्ति।|The Ganga is a holy river.|गंगा एक पवित्र नदी है।
किं तव नाम?|What is your name?|तुम्हारा नाम क्या है?
सः पुस्तकं पठति।|He reads a book.|वह किताब पढ़ता है।
अद्य अवकाशः अस्ति।|Today is a holiday.|आज छुट्टी है।
मयूरः नृत्यति।|The peacock is dancing.|मोर नाच रहा है।
सर्वे सुखिनः भवन्तु।|May all be happy.|सभी सुखी रहें।
इन्द्रजित् मेघेषु निलीय युध्यते।|Indrajit fights after hiding in the clouds.|इंद्रजित् बादलों में छिपकर युद्ध करता है।
स्वर्णकारः भूषणं परिमार्जयति।|The goldsmith is polishing the ornament.|सुनार आभूषण को चमका रहा है।
मनः एव बन्धमोक्षयोः कारणम्।|The mind alone is the cause of bondage and liberation.|मन ही बंधन और मोक्ष का कारण है।
किमत्र शीतलपेयं लभ्यते।|Is a cold drink available here?|क्या यहाँ शीतल पेय मिलता है।
कच्छपः स्वकवचे शिरः गोपयति।|The tortoise hides its head in its own shell.|कछुआ अपने कवच में सिर छिपाता है।
श्रान्तः पान्थः द्रुमाधः शेते।|The weary traveler is sleeping under a tree.|थका हुआ पथिक पेड़ के नीचे सो रहा है।
सा देहलीं रङ्गवल्ल्या अलङ्करोति।|She is decorating the threshold with a rangoli.|वह देहरी को रंगोली से अलंकृत कर रही है।
अर्धज्ञानी जनः विषायते।|A person with half-knowledge becomes like poison.|अधज्ञानी व्यक्ति विष-सा बन जाता है।
हरीतक्याः रसः कषायः।|The juice of the yellow Myrobalan is astringent.|हरड़ का रस कसैला होता है।
क्रीडनकं प्राप्य बालकः प्रहृष्यति।|Receiving the toy, the child rejoices greatly.|खिलौना पाकर बालक बहुत प्रसन्न होता है।
शिवस्य पिनाकः भीषणं टङ्करोति।|Shiva's Pinaka bow twangs fiercely.|शिव का पिनाक भीषण टंकार करता है।
अनुक्ताः शब्दाः हृदि भारयन्ति।|Unspoken words weigh down the heart.|अनकहे शब्द हृदय पर भार डालते हैं।
घर्षणात् स्फुलिङ्गः जायते।|A spark is born from friction.|घर्षण से चिंगारी जन्म लेती है।
घट्ट्याः ध्वनिः प्रभाते श्रूयते।|The sound of the hand-mill is heard in the morning.|चक्की की ध्वनि भोर में सुनाई देती है।
नवजातस्य दृष्टिः अनिमिषा।|A newborn's gaze is unblinking.|नवजात की दृष्टि टकटकी लगी होती है।
नक्रः जले एव निपुणः।|A crocodile is skilled only in the water.|मगरमच्छ पानी में ही निपुण होता है।
