Hindi|English|Sanskrit
इसके पीछे क्या रहस्य है? अवश्य ही जानने का प्रयास करना चाहिए।|What is the secret behind this? Must try to know.|अस्य पृष्ठतः किं रहस्यम्? अवश्यं ज्ञातुं प्रयत्नः करणीयः।
यह सोचकर उस भिखारी के पीछे-पीछे चलने लगा।|Thinking this he started following the beggar.|इति विचिन्त्य सः भिक्षुकस्य अनुसरणं कर्तुमारभत।
भिखारी जहाँ भी जाता सेठ उसके पीछे-पीछे जाता।|Wherever the beggar went, Seth followed him.|यत्र यत्र भिक्षुकः गच्छति स्म तत्र-तत्र श्रेष्ठी तस्यानुसरणं करोति स्म।
कही कोई उस भिखारी को कोई भीख दे देता तो कोई उसे मारता, जलिल करता, गालियाँ देता, पर भिखारी इतना ही कहता, "ईश्वर तुम्हारे पापों को क्षमा करें।"|Sometimes someone would give alms to that beggar, someone would beat him, humiliate him, abuse him, but the beggar would only say, "May God forgive your sins."|कुत्रचित् कश्चित् तस्मै भिक्षुकाय काञ्चित् भिक्षां ददाति स्म, कुत्रचित् कश्चित् तं ताडयति स्म, अपमानयति स्म, अपशब्दं वदति स्म, परन्तु भिक्षुकः केवलं "ईश्वरः भवतः पापान् क्षंसीष्ट" इति वदति स्म।
अब अंधेरा हो चला था।|Now it was getting dark.|इदानीं अन्धकारः शनै:-शनै: वर्धते स्म। 
भिखारी अपने घर लौट रहा था।|The beggar was returning to his home.|भिक्षुकः स्वगृहं प्रति गच्छति स्म।
सेठ भी उसके पीछे था।|Seth was also behind him.|श्रेष्ठी अपि तस्य पृष्ठत:-पृष्ठत: गच्छति स्म।
भिखारी जैसे ही अपने घर लौटा तो एक टूटी फूटी खाट पर जाकर लेट गया।|As soon as the beggar returned to his home, he lay down on a broken cot.|यथैव भिक्षुकः स्वगृहं प्रत्यागत:, तथैव स भग्नखट्वां प्रति गत्वा शयनं कृतवान्।
उसी पर एक बुढ़िया सोई हुई थी जो भिखारी की पत्नी थी।|There was an old woman sleeping on it who was the beggar's wife.|तत्रैव एकः वृद्धा सुप्तवती आसीत् या भिक्षुकस्य पत्नी आसीत्।
जैसे ही उसने अपने पति को देखा तो उठ खड़ी हुई और भीख का कटोरा देखने लगी।|As soon as she saw her husband, she stood up and started looking at the begging bowl.|पतिं पश्यन्ती एव सा उत्थाय भिक्षाकटोरम् अवलोकयितुमरब्ध। 
उस भीख के कटोरे मे मात्र एक आधी बासी रोटी थी।|There was only a half stale loaf of bread in that begging bowl.|तस्मिन् भिक्षाकटोरे एका एव अर्धपर्युषिता रोटिका आसीत्।
उसे देखते ही बुढिया बोली-"बस इतना ही। और कुछ नही। और ये आपका सर कैसे फूट गया?|As soon as she saw him, the old lady said, "That's all. Nothing else. And how did your head get broken?"|तत् दृष्ट्वैव वृद्धा उक्तवती - "केवलम् एतावदेव!अन्यत् किमपि न! भवतः शिरः च कथं भग्नम्?
भिखारी बोला- हाँ, बस इतना ही ।किसी ने कुछ नही दिया ।सबने गालिया दी, पत्थर मारें, इसलिए ये सर फूट गया।|The beggar said - Yes, that's all. No one gave anything. Everyone abused and threw stones, that's why this head burst.|भिक्षुक: अवदत् - "आम्! केवलम् एतावदेव। कश्चनापि किमपि न दत्तवान्। सर्वे अपशब्दान् कथयितवन्त:, प्रस्तरै: प्रहृतवन्त:, अत: एतत् शिर: भग्नम्।"
भिखारी ने फिर कहा- "सब अपने ही पापों का परिणाम हैं।याद है ना तुम्हें? कुछ वर्षो पहले मैं कितना रईस हुआ करते था। क्या नही था मेरे पास?पर मैंने कभी दान नही किया। याद है तुम्हें वो अंधा भिखारी।"|The beggar again said - "All this is the result of one's own sins. Do you remember? How rich I used to be a few years ago. What did I not have? But I never donated. Do you remember that blind beggar?"|भिक्षुकः पुनः उक्तवान्- "एष सर्व: स्वपापानामेव परिणामोऽस्ति। किं त्वया स्मृतम्? अहं कतिपयवर्षेभ्यः पूर्वं कियान् धनिकः आसीत्। मम किं नासीत्? परन्तु अहं कदापि दानं न कृतवान्। किं त्वया स्मृतमस्ति - सः अन्धो भिक्षुक:।"
बुढिया की आँखों में ऑसू आ गये और उसने कहा- हाँ।कैसे हम उस अंधे भिखारी का मजाक उड़ाते थे, कैसे उसे रोटियों की जगह खाली कागज रख देते थे, कैसे हम उसे जलिल करते थे, कैसे हम उसे कभी कभी मार या धकेल देते थे।"|Tears welled up in the eyes of the old lady and she said - Yes. How we used to make fun of that blind beggar, how we used to give him blank papers instead of bread, how we used to humiliate him, how we used to beat or push him sometimes."|वृद्धायाः नेत्राभ्याम् अश्रुपातः अभवत्, सा च अवदत् - "कथम् आवां तस्य अन्धभिक्षुकस्य उपहासं कुर्व: स्म, कथं आवां तस्मै रोटिकाया: स्थाने रिक्तकागदं ददाव: स्म, कथं वयं तम् अपमानितम् अकुर्वन्ताम्, कथं वयं तं ताडयाव: स्म वा उपतंसयाव: स्म वा।" 
अब बुढिया ने कहा - हाँ !सब याद है मुझे। कैसे मैंने भी उसे राह नही दिखाई और घर के बनें नालें में गिरा दिया था।जब भी वहाँ रोटिया मांगता मैंने बस उसे गालियाँ ही देता था। एक बार तो उसका कटोरा तक फेंक दिया।|Now the old lady said - Yes! I remember everything. How I too did not show him the way and made him fall into the drain of the house. Whenever he asked for roti there, I used to just abuse him. Once he even threw away his bowl.|इदानीं सा वृद्धा अवदत्- "आम्! सर्वं स्मरामि। कथं अहम् अपि तस्मै मार्गं न दर्शयित्वा गृहे निर्मितेषु नालिकेषु तं पातितवती। यदा यदा स तत्र रोटिकां याचितवान् तदा अहं केवलं तम् अपशब्दं वदामि स्म। एकदा अहं तस्य भिक्षापात्रमपि क्षिप्तवती।"
और वो अंधा भिखारी हमेशा कहता था, तुम्हारे पापों का हिसाब ईश्वर जरूर ही करेंगे। परन्तु आज उस भिखारी की बद्दुआ और हाय हमें ले डूबी।|And that blind beggar always used to say, God will definitely take account of your sins. But today the curse and reproach of that beggar drowned us.| सः च अन्धः भिक्षुकः सर्वदा वदति स्म, "ईश्वरः भवत्या: पापानां गणनां अवश्यमेव करिष्यति। परन्तु अद्य तस्य भिक्षुकस्य अपवादः धिक्कारः च आवां मज्जितवन्तौ।
फिर भिखारी ने कहा -"पर मैं किसी को बद्दुआ नही देता,चाहे मेरे साथ कितनी भी ज्यादती क्यूं ना हो जाए, मेरे लब पर हमेशा दुआ रहती हैं, मैं अब नही चाहता कि कोई और इतने बुरे दिन देखे, मेरे साथ अन्याय करने वालों को भी मैं दुआ देता हूं, क्योंकि उनको मालूम ही नही हैं कि वे  क्या पाप कर रहे हैं, जो सीधा ईश्वर देख रहा हैं, जैसी हमने भुगती है, कोई और ना भुगते, इसलिए मेरे दिल से बस अपना हाल देख दुआ ही निकलती हैं।"|Then the beggar said - "But I don't curse anyone, no matter how much injustice happens to me, I always have blessings on my lips, I don't want anyone else to see such bad days, those who wronged me. I also pray to those people, because they do not know what sins they are committing, which is directly seen by God, no one else should suffer the way we have, hence only prayers come out of my heart after seeing my condition."|पुन: भिक्षुक: अवदत् -"तथापि अहं कस्मैचित् शापं न ददामि, कामं मया सह कियानपि अत्याचार: किमर्थं न भवेत्, मम अधरयो: सदैव परजनेभ्य: शुभचिन्तनमेव भवति। इदानीम् अहं नेच्छामि यत् अन्यजनेऽपि एतावत् दुष्टदिनं पश्यन्तु, मया सह ये अन्यायं कृतवन्त:, तेभ्योऽपि अहं शुभमङ्गलस्य कामनां करोमि, यतोहि तेषामेव न ज्ञातं यत् ते किम्-किं पापं कुर्वन्ति, यान् प्रत्यक्षत: ईश्वर: अवलोकयति, यथा आवां दुःखं प्राप्नुव तथैव अन्यः कोऽपि दुःखं न प्राप्नुयात्, अतः एव स्वस्थितिं दृष्ट्वा एव मम हृदयात् तेभ्योऽपि आशीर्वादा: एव बहिः आगच्छन्ति।"
सेठ चुपके-चुपके सब सुन रहा था।उसे अब सारी बात समझ में आ गयी थी।बुढ़े और बुढ़िया ने आधी रोटी मिलकर खाया।और, प्रभु की यही महिमा है" बोल कर सो गये।|Seth was listening to everything secretly. Now he had understood the whole thing. The old man and the old woman ate half the bread together. And saying, this is the glory of God, he went to sleep.|श्रेष्ठी मौनेन सर्वं शृणोति स्म। सः इदानीं सर्वं अवगच्छत्। वृद्धः वृद्धा च एकत्र अर्धरोटिकां खादितवन्तौ, "एषः भगवतः महिमा" इति वदन्तौ निद्रां गतौ।
अगले दिन वह भिखारी सेठ के यहां भीख मांगने के लिए गया। सेठ ने पहले से ही रोटियां निकाल कर अलग रख दिया था।उसने भिखारी को रोटियां दी और हल्की से मुस्कान भरे शब्दों में कहा - "माफ करना बाबा ।गलती हो गयी।"|The next day he went to the beggar Seth's house to beg. The Seth had already taken out the rotis and kept them aside. He gave the rotis to the beggar and said with a light smile - "Forgive me Baba. A mistake has been made."|अन्येद्युः सः भिक्षुक: भिक्षायाचनाय श्रेष्ठिनो गृहं गत:। श्रेष्ठी पूर्वमेव रोटिका: निष्कास्य पृथक् स्थापितवान् आसीत्। स भिक्षुकाय रोटिकां दत्तवान् किञ्चित् च स्मितवदनं कृत्वा अवदत् -"क्षम्यतां महोदय!मया त्रुतिरभवत्।"
सेठ को एक बात समझ में आ गयी।इंसान तो बस दुआ-बद्दुआ देता है , परन्तु ईश्वर मनुष्य के पाप और पुण्य का हिसाब समय आने पर जरूर करता है।|The rich man understood one thing. Man just gives prayers, but God does hold man accountable for his sins and virtues in due course.|श्रेष्ठिनः एकं वचनं मस्तिष्के आगत:। मनुष्या: तु आशीर्वादं शापं च ददति, परन्तु ईश्वरः निश्चितरूपेण मनुष्यस्य पापानां पुण्यानाञ्च निर्णयं करोति यदा समयः आगच्छति।
