Sanskrit|English|Hindi
अति सर्वत्र वर्जयेत्।|Excess should be avoided in all respects.|सभी विषयों में अति नहीं करनी चाहिए।
सततम् आत्मचिन्तनं कुरु।|Always introspect.|हमेशा आत्म-चिंतन में लगे रहो।
स्नानं कदाचित् करोति वा भवान्।|Do you take bath sometimes?|क्या आप कभी स्नान करते हैं। 
समस्तपदे कः धातुः प्रयुक्तः।|Which root is used in the compound-word?|समस्तपद में कौनसी धातु प्रयुक्त हुई है। 
मम सुषुप्सा अद्य तीव्रतरा अस्ति।|I am very sleepy today.|मेरी ऊंघ आज अधिक है।
ताः तु नूतनाः शाटिकाः क्रीणन्ति।|They, however, buy new sarees.|वे तो नई साडियां क्रय कर रहीं हैं।
दीर्घजीवनं सर्वेषां न भवति।|Everyone does not have long life.|लंबा जीवन सभी के पास नहीं है।
सर्वं त्यक्त्वा भोजनं कुरु इदानीम्।|Leave everything (aside) and eat now.|सब कुछ छोड़कर अब भोजन करो।
घटिका तु पुरातनी जाता।|The clock, however, has became old.|घड़ी तो पुरानी हो गई है।
केरळेषु अध्यापकानां कृते शैक्षिकसत्रं समारब्धम्।|Educational sessions for teachers in Kerala have started.|केरल में शिक्षकों के लिए शैक्षिक सत्र शुरू हो गए हैं।
पञ्चदिनात्मकम् इदं प्रशिक्षणसत्रं राज्यस्य विविधेषु भागेषु अध्यापकसङ्गमः इति नाम्ना आयोजितम् अस्ति।|The five-day training session is being held in various parts of the state under the name of Teachers' Meeting.|पांच दिवसीय प्रशिक्षण सत्र शिक्षक सभा के नाम से राज्य के विभिन्न हिस्सों में आयोजित किया जा रहा है।s
केरळसर्वकारस्य शैक्षिकविभागेन सत्रमिदम् आयोजितम्॥|The session was organized by the Education Department of the Government of Kerala.|सत्र का आयोजन केरल सरकार के शिक्षा विभाग द्वारा किया गया था।
धारावाहिकं गीताप्रश्नोत्तरम् - ५०||
अर्जुनः - भगवन्! स्वर्गं प्रति गमनागमनरूपा दशा तु सकामकर्मयुक्तेषु अनुष्ठानेषु संलग्नाः, आश्रिताः वा ये स्युः, तेषां हि भवतीति तु भवता पूर्वम् उक्तमासीत्। परन्तु कश्चन भवन्तं प्रपन्नः भवेत् तदा किं स्यात्?||
श्रीकृष्णः - पार्थ ! ये अनन्यभावयुक्ताः मनुष्याः मां हि चिन्तयन्तः पर्युपासते, मयि एव ते सततं निरताः च भवन्ति, तादृशानां भक्तानां योगक्षेमम् अहं स्वयमेव वहामि, अर्थात् तेषाम् अप्राप्तवस्तुनः प्राप्तिं, प्राप्तवस्तुनः रक्षणम् च अहं स्वयमेव करोमि।||
अर्जुनः - परन्तु एवमेव प्रकारेण यदि श्रद्धापूर्वकं कश्चन अन्यदेवानाम् उपासनां कुर्यात् तर्हि भवदुपासनायाः परित्यजनस्य दोषः तं बाधते किम्?||
श्रीकृष्णः - हे धनञ्जय ! यदि केचन मदुपासनां परित्यज्य श्रद्धाविश्वासपूर्वकम् अन्यदेवान् पूजयेयुः तर्हि अत्र न कापि महती बाधा । वस्तुतः सः अन्यदेवान् निमित्तीकृत्य मामेव पूजयन्तः भवन्ति । कारणं सर्वदेवानां स्वरूपं, सदसच्च, सर्वमपि अहमेव अस्मि । परन्तु तादृशैः कृतं तत्पूजनं विधिपूर्वकं स्यादिति न मन्ये।||
अर्जुनः - भगवन् ! यदि तेषां देवानां पूजनमपि भवतः हि पूजनं स्यात् तर्हि तत्पूजनं कथं वा अविधिपूर्वकम् जातम् ? नावगतं मया सर्वथा, कृपया स्पष्टीक्रियतां प्रभो!||
श्रीकृष्णः - अर्जुन ! ते मां तत्त्वतः अजानन्तः अन्यदेवान् आश्रयेयुः इति तु अयुक्तमेव । यतोहि यज्ञः, दानं, तपः इत्यादीनां समस्तशुभकर्मणां भोक्ता, सम्पूर्णलोकानां प्रभुः च अहमेव अस्मि । यथा, वृक्षस्य मुख्यमूलमेव अजानताम् अज्ञानिनां कृते केवलं शाखापत्रादिकस्य उपर्युपरि दृश्यमानं ज्ञानमिव भवति तत्तु । परन्तु वृक्षस्य मुख्याधारस्तु तस्य मूलमेव स्यान्ननु ? एवमेव अहमपि अखिलचराचरजगतः मूलाधारोऽस्मि इति ते तत्त्वतः मां न जानन्ति, अतः पतन्ति।||
अर्जुनः - भगवन् ! तत्पतनं नाम किम्?||
श्रीकृष्णः - पार्थ ! ये देवपूजकाः स्युः, ते देवान् हि प्राप्नुवन्ति । एवमेव पितृसेवकाः पितृ२न्, भूतप्रेतपूजकाः च  भूतप्रेतान् प्राप्नुवन्ति । परन्तु विशेषः यत् भ्रातः ! मत्पूजकाः भक्ताः प्रत्यक्षतया मामेव अधिगच्छन्ति।||
अर्जुनः - प्रभो ! तव पूजकाः त्वां प्राप्नुवन्ति इति तु सत्यं भाति, परन्तु सा भक्तिरपि अतीव कठिना स्यात् किल, ननु?||
श्रीकृष्णः - नहि अर्जुन! मत्प्राप्त्यर्थं भक्तैः आचर्यमाणा या भक्तिः, सा तु अत्यन्तं सुगमा वर्तते । यः मद्भक्तः, सः मां प्रीतिपूर्वकं पत्रं पुष्पं फलं जलं च अर्पयति,  मत्परभक्तेन तेन भक्त्या अर्पितं तदुपहारम् अतीव प्रेम्णा स्वयमेव अश्नाम्यहम्।||
अर्जुनः - एवञ्चेत् मया किं कर्तव्यं भगवन् ?||
श्रीकृष्णः - हे भारत! त्वं यत् अश्नासि, यत् जुहोषि, यत् ददासि, यत् तपस्यसि, अन्यच्च यत् यत् कर्म करोषि, तत् सर्वं मदर्पणं कुरु इति । (गीता - ९/२२-२७)||
होरायां १३० कि. मी वेगः।|130 km/hr velocity.|स्पीड 130 किमी प्रति घंटा।
आगमिष्यति वन्दे मेट्रो।|Vande Metro will be coming.|वंदे मेट्रो आने वाली है।
चेन्नै> वन्दे मेट्रो इति पट्टिकाशकटस्य परीक्षण धावनं विनाविलम्बं भविष्यति इति इन्टग्रल् कोच् फाक्टरि संस्थाधिकारिणः अवदन्।|Chennai> Vande Metro will have a trial run without delay, officials of the Integral Coach Factory said.|चेन्नई - इंटीग्रल कोच फैक्ट्री के अधिकारियों ने कहा कि वंदे मेट्रो का ट्रायल रन बिना किसी देरी के किया जाएगा।
जूण् जुलै मासे एव परीक्षणधावनं भविष्यति।|The test run will be held in June and July.|टेस्ट रन जून और जुलाई में आयोजित किया जाएगा।
१२ यात्रापेटिकाः सन्त्यस्मिन्।|There are 12 coaches in it.|इसमें 12 पेटियां हैं।
'मेमु' रेल् यानस्य परिष्कृतं रूपं भवति इदम्।|This is a sophisticated form of 'Memu' rail yansp.|This is a sophisticated form of 'Memu' rail.|यह 'मेमू' ट्रेन का परिष्कृत संस्करण है।
होरायां ११० -१३० इति वेगेन भविष्यति अस्य धावनम्।|It will run at speeds of 110 -130 in an hour.|होरा में यह 110 -130 की स्पीड से चलेगी।
यानानां मिथः घट्टनस्य परिहाराय कवचः इति सुविधा अपि अस्मिन् सजीकृतः अस्ति।|It is also equipped with a shield to avoid collisions between vehicles.|यह वाहनों के बीच टकराव से बचने के लिए एक ढाल से भी सुसज्जित है।
प्रति पेटिकायां शतानाम् उपवेष्टुं तथा द्विशतानां स्थातुं च शक्यते।|Hundreds can sit and two hundred can stand per box.|प्रति डिब्बे में सैकड़ों बैठ सकते हैं और दो सौ खड़े हो सकते हैं।
प्रथमयात्रा चेन्नैतः तिरुप्पतिपर्यन्तं भविष्यति।|The first journey will be from Chennai to Tiruppati.|पहली यात्रा चेन्नई से तिरुपती तक होगी।
अनेन यज्ञेन देवान् पोषयत यूयं ते च युष्मान् पोषयन्तु इत्थं निस्वार्थभावेन परं पदं प्राप्तास्थ।|You elevate the gods with this sacrifice and may they elevate you. In this way, selflessly uplifting each other, you will attain supreme welfare.|तुम लोग इस यज्ञ से देवताओं को उन्नत करो और वे देवता तुम लोगों को उन्नत करें। इस तरह निःस्वार्थ भाव से एक-दूसरे को उन्नत करते हुए तुम लोग परम कल्याण को प्राप्त हो जाओगे।
देवान् भावयत अनेन, ते देवाः भावयन्तु वः, परस्परं भावयन्तः श्रेयः परमम् अवाप्स्यथ॥|You elevate the gods with this sacrifice and may they elevate you. In this way, selflessly uplifting each other, you will attain supreme welfare.|तुम लोग इस यज्ञ से देवताओं को उन्नत करो और वे देवता तुम लोगों को उन्नत करें। इस तरह निःस्वार्थ भाव से एक-दूसरे को उन्नत करते हुए तुम लोग परम कल्याण को प्राप्त हो जाओगे।
छात्रः कक्षायाः सुधाखण्डं कोषे स्थापयति।|The student keeps the chalk-piece from the class, in the pocket.|छात्र कक्षा से कोश में बत्ती रखता है।
सः तत् फलरसं मदर्थमेव अस्थापयत्।|He kept that fruit juice just for my sake.|उसने मेरे लिए फलों के रस को वहाँ रखा।
अपि बदरीफलानि शैत्यकाले आयान्ति।|Are berries available in winter?|क्या शीतकाल में बेर आते हैं? 
भवतः आगमनस्य कारणं किम्।|What brings you here?|तुम्हारे आगमन का कारण क्या है। 
तेषां कार्यक्रमस्य प्रसिद्धिः प्रसृता सर्वत्र।|Fame ( Success) of their program has spread everywhere.|उनके कार्यक्रम की सफलता सब ओर फैल गयी।
रुदता बालेन भोजनं न कृतम्।|Food was not by the crying child.|रोते हुए बच्चे के द्वारा भोजन नहीं किया गया।
किमर्थम् असमये खादथ।|Why do you eat at the wrong time?|तुम सब ने असमय क्यों खाया?
मातृसेवनं सर्वैः कर्तव्यमेव।|Service to the mother must be done by everyone indeed.|माँ की सेवा सभी के लिए वास्तव में कर्तव्य है।
भवति के के गुणाः विद्यन्ते।|What all qualities do you have?|तुम्हारे पास कौन-कौन से गुण हैं?
रामः उत्थाय प्रातःस्मरणं करोति।|After getting up in the morning Rama prays.|उठकर राम प्रातःस्मरण करता है।
जग्ध्वा मूषसहस्रं स तीर्थान्यभिगच्छति।|Having consumed a thousand mice, he goes on pilgrimage.|नौ सौ चूहे खा के बिल्ली हज को चली।
सत्याम् एताम् भारतीम् ईरयामि।|I tell you the truth.|यह सच्ची बात कहता हूँ।
