Hindi|English|Sanskrit
बार-बार भगवन शिव को याद किया कि प्रभु बस एक बार दर्शन करा दो।|Repeatedly reminded Lord Shiva that Lord please show me just once.|असकृत् भगवान् शिवः स्मृतः यत् प्रभो!केवलं सकृत् दर्शनं दीयताम् इति।
वह प्रार्थना कर रहा था सभी से, लेकिन किसी ने भी नही सुनी।|He was praying to everyone, but no one listened.|सः सर्वान् प्रार्थयत, किन्तु न कोऽपि अशृणोत्।
पंडित जी बोले - अब यहाँ 6 महीने बाद आना।|Pandit ji said – Now come here after 6 months.|पण्डितवर्यः अवदत् यत् इदानीम् इतः षण्मासेभ्यः परम् आगम्यताम् इति।
6 महीने बाद यहा के दरवाजे खुलेंगे।|The doors here will open after 6 months.|षण्मासेभ्य: परम् अत्रत्यं द्वारम् उद्घाटितं भविता।
यहाँ 6 महीने बर्फ और ठंड पड़ती है।|There is snow and cold here for 6 months.|षण्मासान् अत्र हिमशैत्यं भवति।
और सभी लोग वहां से चले गये।|And everyone left from there.|सर्वे च तत: प्रस्थितवन्त:।
वह वहीं पर रोता रहा।|He kept crying there.|सः तत्रैव रुदन् अतिष्ठत्।
रोते-रोते रात होने लगी और चारों तरफ अँधेरा हो गया।|While crying, night started falling and there was darkness all around.|रुदन् रात्रिः आरब्धा परितः च अन्धकारः व्याप्तः।
लेकिन उसे विस्वास था अपने शिव पर कि वो जरुर कृपा करेगे।|But he had faith in his Shiva that he would definitely bless him.|परन्तु तस्य शिवे विश्वासः आसीत् यत् सः अवश्यमेव अनुग्रहीष्यति।
उसे बहुत भूख और प्यास भी लग रही थी।|He was also feeling very hungry and thirsty.|तेन अतीव क्षुधा पिपासा चापि अनुभूयते स्म।
उसने किसी की आने की आहट सुनी।|He heard someone coming.|सः कस्यचित् आगमनं श्रुतवान्।
देखा एक सन्यासी बाबा उसकी ओर आ रहा है।|He saw that an old asetic coming towards him.|स अपश्यत्।एक: साधुवर्य: तं प्रति आगच्छति।
वह सन्यासी बाबा उस के पास आया और पास में बैठ गया।|That ascetic came to him and sat nearby.|स साधुर्वय: तं निकषा आगम्य तस्य समीपे उपविष्टवान्।
पूछा - बेटा कहाँ से आये हो?|Asked - Son, where have you come from?|अपृच्छत् - पुत्र! कुत: आगच्छ:?
उस ने सारा हाल सुना दिया और बोला - मेरा आना यहाँ पर व्यर्थ हो गया बाबा जी।|He narrated the whole situation and said - Baba ji, my coming here has been in vain.|स सर्ववृत्तान्तं श्रावयित्वा अवदत् - साधुवर्य!मम अत्रागमनं व्यर्थमभवत्।
बाबा जी ने उसे समझाया और खाना भी दिया।|The ascetic explained to him and also gave him food.|साधुवर्य: तस्मै सम्बुध्य भोजनमपि दत्तवान्।
और फिर बहुत देर तक बाबा उससे बाते करते रहे।|And then the venerable old ascetic kept talking to him for a long time.|ततश्च साधुवर्यो बहुकालं यावत् तेन सह वार्तालापमकरोत्।
बाबा जी को उस पर दया आ गयी।|The venerable old ascetic felt pity on him.|साधुवर्य: तस्मिन् दयार्द्र: अभवत्।
वह बोले - बेटा मुझे लगता है सुबह मन्दिर जरुर खुलेगा। तुम दर्शन जरुर करोगे।|He said - Son, I think the temple will definitely open in the morning. You will definitely visit.|स: अवदत् - पुत्र!मया प्रतीयते यत् प्रात: मन्दिरम् अवश्यम् उद्घाटयिष्यते। त्वम् आलोकम् अवश्यं करिष्यसि।
बातों-बातों में इस भक्त को ना जाने कब नींद आ गयी।|Don't know when this devotee fell asleep while talking.|एतस्मिन् वार्त्तालापप्रसङ्गे एव एष भक्त: कदा सुप्तवान् इति न ज्ञातम्।
सूर्य के मद्धिम प्रकाश के साथ भक्त की आँख खुली।|The devotee's eyes opened with the dim light of the sun.|सूर्यस्य मन्दप्रकाशेन सह भक्तस्य नेत्रे उद्घाटिते।
उसने इधर उधर बाबा को देखा, किन्तु वह कहीं नहीं थे।|He looked here and there for Baba, but he was nowhere.|स इतस्तत: साधुवर्यम् अपश्यत्,परन्तु स क्वचिदपि नासीत्।
इससे पहले कि वह कुछ समझ पाता उसने देखा पंडित जी आ रहे है अपनी पूरी मंडली के साथ।|Before he could understand anything, he saw the Pandit coming with his entire group.|एतस्मात् पूर्वं यत् स किञ्चित् अवागमिष्यत्। स: अपश्यत् यत् पण्डितवर्य: स्वकीयया सम्पूर्णमण्डल्या साकम् आयाति।
उस ने पंडित को प्रणाम किया और बोला - कल आप ने तो कहा था मन्दिर 6 महीने बाद खुलेगा?|He bowed to the Pandit and said - Yesterday you said that the temple will open after 6 months?|स पण्डिवर्यं प्रणम्य अवदत्-ह्य: भवान् तु अकथयत् यत् मन्दिरं षण्मासेभ्य: परम् उद्घाटितं भविता?
और इस बीच कोई नहीं आएगा यहां लेकिन आप तो सुबह ही आ गये।|And meanwhile no one will come here but you came in the morning itself.|अत्रान्तरे च कोऽपि अत्र न आगमिष्यति परन्तु भवान् तु प्रातःकाले एव आगतः।
पंडित जी ने उसे गौर से देखा, पहचानने की कोशिश की और पुछा - तुम वही हो जो मंदिर का द्वार बंद होने पर आये थे?जो मुझे मिले थे।छह महीने होते ही वापस आ गए।|Pandit ji looked at him carefully, tried to recognize him and asked - Are you the one who had come when the temple doors were closed? The one whom I had met. He came back as soon as six months had passed.|पण्डितवर्य: तं सम्यक् अवलोक्य तम् अभिज्ञातुं प्रयतमान: पृष्टवान् - किं भवान् स एव अस्ति य: मन्दिरद्वारे पिहिते आगत: आसीत्? यदा मया सह मेलनम् अभवत्। षण्मासेभ्य: परमेव प्रत्यागत:।
उस आदमी ने आश्चर्य से कहा - नही, मैं कहीं नहीं गया।|I met you only yesterday and I slept here at night.|स जन: आश्चर्येण कथितवान् - नैव , अहं क्वचित् न गत:।
कल ही तो आप मिले थे और रात में मैं यहीं सो गया था।|I met you only yesterday and I slept here at night.|ह्य: एव तु भवता साकं मम मेलनम् अभवत् रात्रौ च अहम् अत्रैव सुप्तवान्।
मैं कहीं नहीं गया।|I did not go anywhere.|अहं क्वचित् न गत:।
पंडित जी के आश्चर्य का ठिकाना नहीं था।|There was no limit to pandit's surprise.|पण्डिवर्यस्य आश्चर्यस्य काचित् सीमा नासीत्।
