Hindi|English|Sanskrit
मीठा जल पीकर आत्मा तृप्त हो गई।|The soul became satisfied after drinking sweet water.|मधुरजलं पीत्वा तस्यात्मा तृप्तोऽभवत्।
उसने मंत्री से कहा- 'मंत्री! नदी छोटी है, पर जल बहुत मीठा है। समुद्र विशाल है पर जल खारा है।'|He said to the minister- 'Minister! The river is small, but the water is very sweet. The ocean is vast but the water is salty.| स: अमात्यमवदत् - " अमात्य! नदी लघ्वी अस्ति, परन्तु जलम् अतीव मधुरमस्ति। सागर: विशालोऽस्ति, परन्तु जलं लवणयुक्तमस्ति।"
मंत्री ने कहा - राजन ! विशालता सिर्फ देखने की ही होती है, नदी समुद्र से छोटी है किंतु, नदी प्यासे की प्यास बुझाती है, दूसरों को पानी बांटती है, इसलिए जल मीठा है और छोटी होकर भी बढ़ी है।|The minister said - Rajan! The vastness is only visible, the river is smaller than the sea, but the river quenches the thirst of the thirsty, distributes water to others, hence the water is sweet and has grown despite being small.|अमात्य: अवदत् - "राजन्! विशालत्वं केवलं द्रष्टुं भवति, नदी समुद्रापेक्षया लघुतरा किन्तु, नदी तृषितानां तृष्णां शमयति, अन्येभ्यः जलं वितरति, अतः जलं मधुरमस्ति तथा सा लघु अपि वर्धिता अस्ति।
जबकि समुद्र सारा पानी खुद ही रखता है, इसलिए उसका पानी खारा है।|Whereas the ocean holds all the water itself, hence its water is salty.|यद्यपि सागर: सर्वजलं स्वयमेवं धारयति,अत एव तस्य जलं लवणयुक्तमस्ति।
मंत्र की बात सुनकर राजा उदास हो गया।|The king became sad after listening to the mantra.|अमात्यवचनं श्रुत्वा राजा दुःखितोऽभवत् 
मंत्री ने पूछा-महाराज! आप उदास क्यों हैं?|The minister asked – Maharaj! Why are you sad?|अमात्य: अवदत् - महाराज् !भवान् खिन्न: किमर्थमस्ति?
राजा ने कहा- 'तुमने बहुत गहरी बात कह दी। मैं भी समुद्र की तरह हूं, जिसने प्रजा को कभी कोई सुख नहीं दिया, अपने अभिमान के कारण मैं भूल गया था कि नदी से समुद्र बनता है। उसे बनाने वाली नदी ही है।'|The king said- 'You have said a very deep thing. I am also like the ocean, which never gave any happiness to the people, because of my pride I had forgotten that a river creates an ocean. It is the river that creates it.|राजा अवदत् - "त्वया अतीव गम्भीरं उक्तम्। अहम् अपि सागरः इव अस्मि यः प्रजाभ्यः कदापि सुखं न दत्तवान्, स्वाहङ्कारात् अहं विस्मृतः यत् समुद्रः नदीतः निर्मितो भवति। नदी एव तत् सृजति।"
उसी दिन से राजा ने राज्य और प्रजा की भलाई के लिए योजनाएं बनाने लगा।|From that very day the king started making plans for the welfare of the state and the people.|तदारभ्य राजा राज्यस्य प्रजानां च कल्याणार्थं योजनानां निर्माणं कर्तुमारब्धवान्।
राजा का स्वभाव भी दयालु हो गया।|The king's nature also became kind.|राज्ञ: स्वभावोऽपि दयालु: अभवत्।
दया और दान से छोटा भी बड़ा बन जाता है।|Even small becomes big through kindness and charity.|कृपया दानेन च लघुः अपि महान् भवति।
इसलिए व्यक्ति को बांटते रहना चाहिए।|Therefore one should keep sharing.|अत: मानव: वितरणं कुर्वन् एव तिष्ठेत्। 
केवल जमा करने से धन भी समुद्र की भांति कड़वा और खारा हो जाता है।|By mere accumulation, wealth also becomes bitter and salty like the ocean.|केवलं संचयमात्रेण धनमपि सागरवत् तीक्ष्णं लवणं च भवति।
जो बल में बढ़ेचढ़े तथा बन्धन में डालने और विनाश करने में समर्थ शत्रु के प्रथम वेग को सिर झुकाकर नहीं सह लेता है, वह शीघ्र ही नष्ट हो जाता है।The one who does not bow his head and bear the first blow of the enemy, who is powerful and capable of binding and destroying, is soon destroyed.
यो हि विवृद्धस्य प्रभोः शत्रोः बन्धविनाशने पूर्वं वेगं न सहते क्षिप्रम् एव विनश्यति।
हिमाचली बेटे अजय ठाकुर को मिला पद्मश्री पुरस्कार ,राष्ट्रपति ने किया सम्मानित।|Himachali son Ajay Thakur received Padmashree award, honored by the President.|हिमाचलपुत्रेण अजयठाकुरेण पद्मश्रीपुरस्कार: प्राप्त:,राष्ट्रपतिमहोदयेन सम्मानितम्।
भारतीय कबड्डी टीम के कप्तान अजय ठाकुर का जन्म 1 मई सन 1986 में हिमाचल प्रदेश के नालागढ़ जिले के दभोटा गांव में हुआ था।|Indian Kabaddi team captain Ajay Thakur was born on 1 May 1986 in Dabhota village of Nalagarh district of Himachal Pradesh.|भारतीयकर्पदीदलस्य क्रीडानायकस्य अजय ठाकुरस्य जन्म षडाशीत्याधिकेकोनविंशतिशततमवर्षस्य मई मासस्य प्रथमदिनाङ्के हिमाचलप्रदेशस्य नालागढ़जनपदस्य दभोटाग्रामे अभवत्।
साल 2016 में हुए अजय ठाकुर विश्वकप कबड्डी के फाइनल में शानदार प्रदर्शन कर विशेष प्रसिद्ध हुए।|Ajay Thakur became especially famous by his brilliant performance in the final of the World Cup Kabaddi in the year 2016.|षोडशाधिकविंशतिशततमवर्षस्य विश्वस्पर्द्धा-कर्पदीक्रीडायाः अन्तिमक्रीडायां तेजस्वीं प्रदर्शनं कृत्वा अजय ठाकुरो विशेषतया प्रसिद्धः अभवत्।
अजय ठाकुर के बेहतरीन पारी के कारण ही भारत ने यह टुर्नामेंट पहले हाफ में ईरान से पिछड़ने के बावजूद जीत गया।|Due to the excellent innings of Ajay Thakur, India won this tournament despite lagging behind Iran in the first half.|अजय ठाकुरस्य उत्तमप्रदर्शनकारणादेव भारतम् एनां स्पर्धां प्रथमार्धे ईरानात् पृष्ठतो भूत्वा अपि विजयं प्राप्तवान्।
कबड्डी विश्वकप में सबसे ज्यादा रेड प्वाइंट हासिल करने के लिए उन्हें रेडर ऑफ द टुर्नामेंट चुना गया।|He was adjudged Raider of the Tournament for scoring the most raid points in the Kabaddi World Cup.|कर्पदीविश्वस्पर्धाक्रीडायां सर्वाधिकं रेड-अङ्कान् प्राप्तवान् इति कारणेन सः रेडर आफ द टूर्नामेण्ट इति निर्णीतः।
फाइनल मुकाबले में अजय ठाकुर ने 12 रेड प्वाइंट और पूरे मैच में कुल 68 रेड प्वाइंट हासिल किए थे।|Ajay Thakur had scored 12 raid points in the final match and a total of 68 raid points in the entire match.|अन्तिमस्पर्धायाम् अजय ठाकुर: द्वादश रेड-अङ्कान् तथा पूर्णस्पर्धायां कुलं अष्टषष्टि: रेड-अङ्कान् प्राप्तवान्।
इससे पहले इंचियोन में साल 2014 में हुए एशियाई खेलों में भारत को गोल्ड मेडल दिलाने में अजय ठाकुर की भूमिका महत्त्वपूर्ण रही थी।|Earlier, Ajay Thakur had played an important role in India winning the gold medal in the 2014 Asian Games in Incheon.|अस्मात् पूर्वं चतुर्दशाधिकविंशतिशततमवर्षस्य इन्चियोननगरे एशियाक्रीडायां भारताय स्वर्णपदकं दापयितुं अजय ठाकुरस्य भूमिका महत्त्वपूर्णा आसीत्।
पिछले चौदह वर्षों से अजय ठाकुर भारत के लिए कबड्डी खेल रहे है और कबड्डी उनके लिए एक खेल ही नहीं ,बल्कि जुनून है।|Ajay Thakur has been playing Kabaddi for India for the last fourteen years and for him Kabaddi is not just a game but a passion.|अजय ठाकुरः विगतचतुर्दशवर्षेभ्यः भारतस्य कृते कर्पदीं क्रीडति तथा च कबड्डी तस्य कृते क्रीडैव न, अपितु अनुरागोऽस्ति।
यही वजह है कि साल 2014 के प्रो कबड्डी लीग में टायफायड और तेज बुखार से पीड़ित होने के बावजूद अजय ठाकुर टीम के लिए खेलते रहे।|This is the reason why Ajay Thakur continued playing for the team despite suffering from typhoid and high fever in the 2014 Pro Kabaddi League.|एतदेव कारणं यत् चतुर्दशाधिकविंशतिशततमवर्षस्य प्रो-कर्पदी-लीग-क्रीडायां सन्निपातज्वररोगेण उच्चज्वररोगेण च पीडितः सन् अपि अजय-ठाकुरः दलस्य कृते क्रीडति स्म।
जो कुछ तीनों लोकों में प्रतिष्ठित है,|Which is well-established in the three realms,|त्रिदिवे यत् प्रतिष्ठितम्,
वह सब 'प्राण' के वश में है।|That is subject to Life|इदं सर्वं प्राणस्य वशे वर्तते।
जिस प्रकार माता अपने नन्हें पुत्रों की रक्षा करती है, उसी प्रकार हमारी रक्षा करिये।|Protect us just like a mother protects her sons.|माता पुत्रान् इव अस्मान् रक्षस्व नः।
हमें बुद्धि एवं प्रतिष्ठा प्रदान करिये।|give us wisdom and fortune.|श्रीः प्रज्ञां विधेहि इति॥
बालक, या वृद्ध, या जवान कोई भी हो, वह यदि अपने घर पर आजाये तो उसका पूजन अवश्य करना चाहिए, क्योंकि-॥|If One comes home, whether One is a child or an old man or a young man, One must be worshipped.|गृहम् आगतः यदि बालः वा वृद्धः वा युवा वा तस्य पूजा विधातव्या एव।
अतिथि सबका पूज्य है।|The visitor is always honourable like a teacher.|अभ्यागतः सर्वदा गुरुः इव सम्मन्तव्यः।
बच्चा हाथों और पैरों से चलता और दौड़ता है।|The child walks and runs with hands and legs.|शिशुः हस्तपादैः चलति धावति च।
वह चलते हुए चींटे को देखकर उसको दौड़ाता है।|Seeing an ant walking, he chases it.|सः चलन्तं पिपीलिकं दृष्ट्वा तं धावयति।
कभी चींटे को पकड़ लेता है।|Sometimes he catches an ant.|पिपीलिकं गृह्णाति कदाचित्।
कभी चींटा भाग जाता है।|Sometimes the ant runs away.|कदाचित् पिपीलिकः पलायते।
कभी तो बच्चे के हाथ में काट भी लेता है।|Sometimes it even bites the child's hand.|कदाचित् तु शिशोः करे दशति अपि।
तब जोर से बच्चा रोता है।|Then the child cries loudly.|तदा उच्चैः शिशुः रोदिति।
और घर के लोग उसकी ओर दौड़ते हुए बोलते हैं क्या हुआ?|And the people of the house run towards him and say what happened?|गृहजनाः च तं प्रति धावन्तः वदन्ति किम् अभूत?
हर उलझन के अंदर ही उलझन का हल होता है।|The solution to every dilemma lies within it.|प्रत्येकं द्विधायाः समाधानं तस्यामेव द्विधायां निहितमस्ति।
हमेशा कोशिश करने से ही बेहतर कल मिलता है।|A better tomorrow is always achieved by trying hard.|सर्वदा प्रयत्नेनैव उत्तमो भविष्यो लभ्यते।
75 वें गणतंत्र दिवस के शुभ अवसर पर सभी शिक्षकों विद्यार्थियों और अभिभावकों को ढेर सारी शुभकामनाएं।|Many best wishes to all the teachers, students and parents on the auspicious occasion of 75th Republic Day.|पञ्चसप्ततितमस्य गणतन्त्रदिवसस्य शुभावसरे सर्वेभ्य: शिक्षकेभ्यश्च छात्रेभ्यश्च छात्राभ्यश्च अभिभावकेभ्यश्च बहव: शुभकामना:।
मनुष्य: सर्वं कार्यं विहाय प्रथमं शरीरस्य रक्षणं कुर्यात्,|Man should leave all work and protect his body first,|मनुष्य सब कार्यों को छोड कर शरीरका रक्षण करना चाहिये,
यत: शरीरं सुदृढं भवति चेत् एव सः पुरुषार्थान् धर्मार्थकामान् प्राप्तुं शक्नोति।|Because only when the body remains strong will one be able to attain salvation.|क्योंकि जब शरीर सुदृढ रहेगा तदा ही पुरुषार्थ(धर्म अर्थ काम मोक्ष) प्राप्त हो सकेगा।
शरीरस्य विनाशे सति सर्वेषां कार्याणां अभावः एव भवति।|Whereas due to the destruction of the body there will be absence of all activities.|जबकि शरीर के विनाश से सर्व कार्योंका अभाव ही रहेगा।
आकाश के एकान्त और अत्युच्च प्रदेश में विहार करने वाले पक्षी भी आपत्ति में फँस जाते हैं।|Even the birds that roam in the lonely and high regions of the sky get trapped in obstacles.|पक्षिणः दूरे गगने डयमाना अपि सङ्कटे पतन्ति।
चतुर लोग अथाह जल वाले समुद्र से भो मछलियों को पकड़ लेते हैं।|Clever people catch fishes from the ocean of immense water.|अगाधे वारिनिधौ स्थिता अपि मीनाः धीवरैः प्रसारितैः जालैः निर्बध्यन्ते।
इसलिये इस संसार में क्या अच्छा है?|So what is good in this world?|इह लोके किं साधु?
और क्या बुरा है?What's bad?|किमसाधु?
और क्या योग्य स्थान की प्राप्ति में भी लाभ है?|And is there any benefit in getting a suitable position?|अत्यन्तं योग्यस्थानप्राप्त्या किम्?
क्यों कि कालरूपी शत्रु व्यसन (विपत्ति) रूपी हाथ पसारे बैठा है, और वह मौका पाते ही दूर से भी प्राणियों को पकड़ लेता है।|Because the enemy in the form of time is spreading its hands in the form of disaster and as soon as it gets the chance, it captures living beings even from a distance.|मृत्युः दूरादपि विपत्तिरूपेण आगत्य करौ विस्तीर्य (अस्मान् अवश्यं) धरति।
यदि सूरज को ठीक रखना है तो सूरज को जल चढ़ायें। श्री राम रक्षा स्तोत्र व आदित्य ह्रदय स्तोत्र का पाठ करे।|If you want to keep the sun healthy then offer water to the sun. Recite Shri Ram Raksha Stotra and Aditya Hridaya Stotra.|यदि सूर्यं भद्रावस्थायां स्थापयितुमिच्छेः तर्हि सूर्याय जलं समर्पयेः। तदनन्तरं श्रीरामरक्षास्त्रोतस्य आदित्यहृदयस्तोत्रस्य च पाठं कुर्याः।
यदि चंद्र को ठीक रखना है  तो माँ के पैरों को हाथ लगाकर प्रणाम करे व चांदी के आभूषण उपहार में दे। सोमवार को शिवलिंग का दूध से अभिषेक करे।|If you want to keep the moon in good condition, then worship the mother's feet with your hands and gift silver jewellery. Anoint Shivling with milk on Monday.|यदि चन्द्रं भद्रावस्थायां स्थापयितुमिच्छेः तर्हि मातुः पादौ हस्ताभ्यां प्रणमेः। तदनन्तरं तस्यै रजताभूषणं दद्याः। सोमवासरे शिवलिंगे दुग्धेन अभिषेकं कुर्याः।
यदि मंगल को ठीक रखना है तो भाईयों से अच्छा सम्बन्ध बनाकर रखें। मंगलवार को गुड़ चने हनुमानजी मन्दिर में बाटे।|If you want to keep Mars in good condition then maintain good relations with your brothers. On Tuesday, jaggery and gram were distributed in Hanumanji temple.|यदि मंगलग्रहः सम्यक् स्थापनीयः तर्हि भ्रातृभिः सह सुसम्बन्धः स्थापनीयः। मङ्गलवासरे हनुमतः देवालये गुडचणकयोः प्रसादवितरणं कुर्याः।
यदि बुध को ठीक रखना है तो पक्षियों को साबुत मूंग खिलाये। गाय को हरा चारा खिलाये।|If you want to keep the Guru well, then the father and the Brahmin, while saluting the Guru's feet, should touch his feet and serve him.|यदि बुधं सम्यगावस्थायं स्थापयितुमिच्छेः तर्हि पक्षिणः पूर्णमुद्गं भोजयेः। गोभ्यः हरितभोजनं कुर्याः‌।
यदि गुरु को ठीक रखना है तो पिता व ब्राह्मण, गुरु के पावों को प्रणाम करते समय पाव के हाथ लगायें व उनकी सेवा करे।||यदि गुरुं सम्यगावस्थायां स्थापयितुमिच्छेः तर्हि पितरौ ब्राह्मणं च प्रणमन्  चरणान् हस्तभ्यां स्पृष्ट्वा तेषां सेवां कुर्याः।
यदि शुक्र को ठीक रखना है तो माता और माता समान महिलाओं को प्रणाम और सम्मान दे। गऊओं को चारा खिलाये।|If you want to keep Venus in good condition then pay respect and respect to mother and mother-like women. Feed fodder to the cows.|यदि शुक्रं सम्यक् स्थापयितुमिच्छेः तर्हि मातरं च मातृसदृशीः नारीः च प्रणम्य सम्मानं कुर्याः। गाः भोजनं कुर्याः।
यदि शनि को ठीक रखना है  तो मजदूरों को कुछ मीठा खिलायें।|If you want to keep Saturn healthy then feed something sweet to the workers.|यदि शनिं सम्यगावस्थायां स्थापयितुमिच्छेः तर्हि श्रमिकान् किञ्चित् मिष्टान्नभोजनं कुर्याः।
यदि राहु को ठीक रखना है तो सफाई मजदूरों को चाय पिलायें। कुष्ठ रोगी, अंधे, विकलांग, बीमार असहाय लोगों की सेवा करें।|If you want to keep Rahu in good condition then give tea to the cleaning workers. Serve the lepers, blind, handicapped and sick helpless people.|यदि राहुं सुष्ठ्वावस्थायां स्थापयितुमिच्छेः तर्हि सम्मार्जकान् चायपानं कुर्याः।कुष्ठ-अन्ध-विकलाङ्ग-रोगी-असहायजनानाम् सेवां कुर्याः।
यदि केतु को ठीक रखना है तो चितकबरा कम्बल मंदिर में चढ़ायें।|If you want to keep Ketu healthy then offer a spotted blanket in the temple.|यदि केतुं सुस्थितौ स्थापयितुमिच्छेः तर्हि मन्दिरे चित्रवर्णीयं कम्बलं समर्पयेः।
यदि खुद ठीक को रखना चाहते है ठीक तो ईश्वर से लगन करे। एकनाथलिंग की शरण में जाये।|If you want to keep yourself right, then pray to God and take refuge in Eknathalinga.|यदि स्वयं सम्यक् स्थापयितुमिच्छेः तर्हि ईश्वरेण सह लग्नं कुर्याः। एकनाथलिङ्गस्य शरणं गच्छेः।
'वह' जो मन के द्वारा मनन नहीं करता,|That which thinks not by the mind,|मनसा यत् न मनुते।
'वह' जिसके द्वारा मन स्वयं मनन का विषय बन जाता है,|that by which the mind is thought,|येन मनः मतं इति ब्रह्मविदः आहुः।
'उसे' ही तुम 'ब्रह्म' जानो,|know That to be the Brahman|तत् एव त्वं ब्रह्म विद्धि।
न कि इसे जिसकी मनुष्य यहां उपासना करते हैं।|and not this which men revere after here.|यत् इदं उपासते इदं न।
क्रोध एक तेज आँधी के झोंका की तरह होता है।|Anger is like the gust of a strong storm.|क्रोध: एकस्य तीव्रचण्डवातस्य प्रवाह: इव भवति।
जब आता है तो हमारे विवेक और बुद्धि को उड़ा ले जाता है।|When it comes, our conscience and intellect flies away.|यदा स आगच्छति तदा अस्माकं विवेकं बुद्धिं च उड्डायित्वा नयति।
जब आता है तो हमारे विवेक और बुद्धि को उड़ा ले जाता है।|When it comes, it takes away our conscience and intellect.|यदा स आगच्छति तदा अस्माकं विवेकं बुद्धिं च हरति।
आँधी के गुजर जाने के बाद हमें मालूम होता है हमारी क्या-क्या वस्तुएँ आँधी के साथ उड़ गई हैं।|After the storm passes, we come to know what belongings of ours have been blown away with the storm.| चण्डवातस्य व्यतीतानन्तरम् अस्माभि: ज्ञायते यत् अस्माकं कानि-कानि वस्तूनि चण्डवातेन सह उड्डीय गतानि।
Big Cat की यह प्रजाति कभी भारत में पायी जाती थी।|This species of Big Cat was once found in India.|एष वृहत्मार्जार: प्रजाति: कदाचित् भारते एव दृश्यते स्म।
यह दुनिया का सबसे तेज फर्राटा लगाने वाला जानवर है।|It is the fastest animal in the world.|एषः जगतो द्रुततमो धावक: पशुः अस्ति
चीता 128 किमी/घंटे की रफ्तार तक दौड़ सकता है।|Cheetah can run up to a speed of 128 km/hour.|चित्रक: अष्टाविंशत्याधिकशतानि किलोमीटरमीतं प्रतिघण्टापर्यन्तं धावितुं शक्नोति।
हिन्दी में चीता शब्द का अर्थ होता है अलग-अलग रंगों के धब्बों वाला या चितकबरा।|In Hindi the word Cheeta means one with different colored spots or spotted.|हिन्दीभाषायां चित्रकस्य शब्दार्थो भवति-विविधवर्णै: युक्त: चिह्नवर्णीय: उत विचित्रवर्णीय:।
चीता को खास धब्बेदार खाल की वजह से यह नाम मिला है।|Cheetah got this name because of its special spotted skin.|विशिष्टचिह्नितवर्णात् चित्रकेण एतत् नाम प्राप्तम्।
अफ्रिका और मध्य इरान तक सिमटे चीता को भारत में बसाने की तैयारी है।|There are preparations to settle the cheetah, confined to Africa and central Iran, in India.|अफ्रिकादेशे मध्य इरानदेशे च सीमितचित्रकाणां भारते निवासनाय सज्जत्वमस्ति।
मूर्खों के लिये मौन रहना ही सबसे बेहतर है।|It is better for fools to remain quiet.|विभूषणम् मौनम् अपण्डितानाम्।
जो तप मूढ़तापूर्वक स्वयं को पीड़ित करते हुए अथवा अन्य लोगों के नाश के लिए किया जाता है, वह तप तामस कहा गया है।|That austerity which is practised from deluded notions by means of self-torture or in order to injure another is said to be Tamasika.|मूढग्राहेण अविवेकनिश्चयेन आत्मनः पीडया यत् क्रियते तपः परस्य उत्सादनार्थं विनाशार्थं वा तत् तामसं तपः उदाहृतम्।
दांतों में कीड़ा लग जाने पर रात्रि को दांत में हींग दबाकर सोएं।|If there is a worm in the teeth, then sleep by pressing asafoetida in the teeth at night.|दन्तेषु दन्तकृमि: भवेत् तर्हि रात्रौ दन्तयो: मध्ये रामठं निष्पीड्य शयनं कुर्यात्।
कीड़े खुद-ब-खुद निकल जाएंगे।|The worms will go away on their own.|दन्तकृमि: स्वयमेव निस्सृतो भविष्यति।
यदि शरीर के किसी हिस्से में कांटा चुभ गया हो तो उस स्थान पर हींग का घोल भर दें।|If a thorn has pricked any part of the body, fill that area with asafoetida solution.|यदि कण्टकेन शरीरस्य कश्चन भागो निष्तुन्न: स्यात् तर्हि तत् क्षेत्रं रमठविलयनेन पूर्यात्। 
कुछ समय में कांटा स्वतः निकल आएगा।|The thorn will come out automatically after some time.|कण्टकः किञ्चित्कालानन्तरं स्वयमेव बहिरागमिष्यति।
हींग में रोग-प्रतिरोधक क्षमता होती है।|Asafoetida has anti-disease ability.|हिङ्गौ रोगप्रतिरोधकक्षमता भवति।
दाद, खाज, खुजली व अन्य चर्म रोगों में इसको पानी में घिसकर उन स्थानों पर लगाने से लाभ होता है।|In case of ringworm, scabies, itching and other skin diseases, rubbing it in water and applying it on those places is beneficial.|दद्रू-कण्ड्वादि-त्वक्-रोगेषु जले घर्षित्वा तेषु स्थानेषु लेपनं हितकरं भवति।
हिंग का लेप बवासीर,तिल्ली और उदरशोथ में लाभप्रद है।|Asafoetida paste is beneficial in piles, spleen and abdominal swelling.|रमठलेपनम् अर्श-गुल्म-उदरशोथादिषु रोगेषु लाभकरं भवति।
कब्जियत की शिकायत होने पर हींग के चूर्ण में थोड़ा सा मीठा सोड़ा मिलाकर रात्रि को फांक लें, सबेरे शौच साफ होगा।|In case of constipation, mix a little sweet soda in asafoetida powder and swallow it at night, the stool will be clear in the morning.|मलबन्धत्वस्य/कोष्ठबद्धताया: आक्षेपे जाते रमठचूर्णेन सह किञ्चित्मधुरसूर्यक्षारस्य मिश्रणं कृत्वा रात्रौ सेवनं कुर्यात्। प्रात: शौचं सुकरं भविता।
पेट के दर्द, अफारे, ऐंठन आदि में अजवाइन और नमक के साथ हींग का सेवन करें तो लाभ होगा।|In case of stomach pain, indigestion, cramps etc., consuming asafoetida with celery and salt will be beneficial.|यदि उदरवेदना, आध्मानम्, उदरमोटनम् इत्यादय: रोगा: भवेयु: तर्हि यवान्या लवणेन च सह हिङ्गुसेवनं लाभकरं भवेत्।
पेट में कीड़े हो जाने पर हींग को पानी में घोलकर एनीमा लेने से पेट के कीड़े शीघ्र निकल आते हैं।|In case of stomach worms, dissolving asafoetida in water and taking enema helps in removing the stomach worms quickly.|यदि उदरे कृमय: भवेयु: तर्हि रमठं जले निमज्ज्य वस्त्यौषधसेवनेन उदरकृमिणां शीघ्रं निष्कासनं भवति।
जख्म यदि कुछ समय तक खुला रहे तो उसमें छोटे-छोटे रोगाणु पनप जाते हैं। जख्म पर हींग का चूर्ण डालने से रोगाणु नष्ट हो जाते हैं।|If the wound remains open for some time, small germs grow in it. Germs are destroyed by applying asafoetida powder on the wound.|व्रणोपचारः यदि शीघ्रं न क्रियेत तर्हि तस्मिन् लघवः रोगाणवः जायन्ते। व्रणे हिङ्गुचूर्णनिक्षेपणेन रोगाणवः नश्यन्ति।
प्रतिदिन के भोजन में दाल, कढ़ी व कुछ सब्जियों में हींग का उपयोग करने से भोजन को पचाने में सहायक होती है।|Using asafoetida in dal, curry and some vegetables in daily food helps in digestion.|सूपे, तेमने, केषुचित् शाकेषु च नित्यभोजने हिङ्गो: उपयोगः पाचनक्रियायां सहायको भवति।
धर्म के तीन आधार हैं - यज्ञ अध्ययन दान|There are three pillars of dharma - yajna, study and charity|त्रयोः धर्मस्कन्धाः यज्ञः अध्ययनं दानम् इति
दुष्कृत्य करने वाले, मूढ, नराधम पुरुष मुझे नहीं भजते हैं।|The foolish evildoers, who are the most depraved among men do not take refuge in Me.|न मां दुष्कृतिनः पापकारिणः मूढाः प्रपद्यन्ते नराधमाः नराणां मध्ये अधमाः निकृष्टाः।
माया के द्वारा जिनका ज्ञान हर लिया गया है, वे आसुरी भाव को धारण किये रहते हैं।|who are deprived of (their) wisdom by Maya, and who resort to demoniacal ways|ते च मायया अपहृतज्ञानाः संमुषितज्ञानाः आसुरं भावं हिंसानृतादिलक्षणम् आश्रिताः॥
एक गरुड़ शिकार की खोज में किसी पर्वत के शिखर पर बैठा था।|An eagle was sitting on the peak of a mountain in search of prey.|एको गरुडः भोजनान्वेषणे कस्यचित् पर्वतस्य शिखरस्य उपरि उपविष्टः आसीत्।
वहीं बैठे हुए एक शिकारी ने उसपर बाण चलाकर घायल कर दिया।|A hunter sitting there shot an arrow at him and injured him.|तत्रैव उपविष्टः सन् एकः व्याध: तं प्रति सायकं चालयित्वा व्रणितवान्।
मरते समय गरुड ने उस बाण के पंख देखे।|While dying, Garuda saw the feathers of that arrow.|मृत्युकाले गरुड: तस्य सायकस्य पक्षान् अपश्यत्।
तब उसने कहा - इस बाण मे तीव्र गति हमारे ही पंखों के कारण आयी है।|Then he said - "The fast speed of this arrow has come because of our wings."|तदा स: अवदत् - "अस्मिन् सायके तीव्रगति: अस्माकमेव पक्षेभ्य: आगत:।"
इस का मुझे मृत्यु से अधिक दुःख हो रहा है।|I am more saddened by this than by death.|एतेन मम मृत्युतः अधिकं दुःखस्य अनुभूति: भवति।
