Hindi|English|Sanskrit
ये वे चार वाक्य हैं जो आदमी को आगे नहीं बढ़ने देते।|These are those four sentences which do not allow a man to move forward.|एतानि एव चत्वारि वाक्यानि सन्ति यैः मानवः प्रगतिं कर्तुं न शक्नोति।
चलो, उठो, आगे बढ़ो।|Come on, get up, move forward.|चलत, उत्तिष्ठ, अग्रे सरत।
क्यों सुस्त पड़े हो?|Why are you lying idle?|किमर्थं निस्तेज: स्त?
जो पाना है, उसे पाने के लिए पूरा ताकत झोंक दो।|Whatever you want to achieve, use all your strength to achieve it.|यत् प्रापणीयं तत् प्राप्तुं पूर्णप्रयासं करुत।
तुम्हें आगे बढ़ने से कोई नहीं रोक सकता।|No one can stop you from moving forward.|उन्नतिमार्गगमनात् युष्मान् कश्चनापि न रोद्धुं शक्नोति।
मुझे पचास रुपये हैं।|I have fifty rupees.|मम पार्श्वे पञ्चाशत् रूप्यकानि सन्ति।
मुझे पांच सौ रुपये का एक ननोट है।|I have a note of five hundred rupees.|मम पार्श्वे एका पञ्चशतकरूपयक-कागदमुद्रा अस्ति।
मुझे एक भी रुपया नहीं है।|I don't have a single rupee.|मम पार्श्वे एकमपि रूप्यकं नास्ति।
आजकल मेरे पास रुपया-पैसा नहीं है।|Nowadays I don't have any money.|अद्यत्वे मम पार्श्वे पणाः/रूप्यकानि न सन्ति।
आजकल रुपए पैसे ही सब कुछ है।|Nowadays money is everything.|अद्यत्वे द्रविणमेव सर्वमस्ति।
मेरे पास एक भी पैसा नहीं है।|I don't have any money.|मम पार्श्वे एकोऽपि पणो नास्ति।
मुझे एक रुपया भर सोना दो।|Give me one rupee worth of gold.|मह्यम् एकरूप्यकस्य नाणकस्य मूल्यसमं स्वर्णं देहि।
भगवान ने हमारे मस्तिष्क और व्यक्तित्व में असीमित क्षमताएं और शक्तियां दी हैं।ईश्वर की प्रार्थना हमें इन शक्तियों को विकसित करने में मदद करती है।|God has given unlimited abilities and powers in our brain and personality. Prayer to God helps us to develop these powers.|भगवान् अस्माकं मस्तिष्के व्यक्तित्वे च असीमशक्तिक्षमता: दत्तवान्। ईश्वरप्रार्थना अस्माकं शक्तीनां विकासं कर्तुं साहाय्यं करोति।
छात्र की सबसे महत्त्वपूर्ण गुण यह है कि वह हमेशा अपने अध्यापक से सवाल पूछे।|The most important quality of a student is that he should always ask questions to his teacher.|छात्रस्य महत्त्वपूर्णगुणो यत् सः सदा स्वकीयम् अध्यापकं प्रश्नं पृच्छेत् इति।
फसल तैयार है।|The crop is ready.|सस्यं सिद्धम् अस्ति।
