Sanskrit|English|Hindi
ब्रह्मणा कुबेरो धनेश्वरो नियुक्तः।|Kubera was appointed as the lord of wealth by Brahma.|कुबेर ब्रह्मा द्वारा धन के स्वामी नियुक्त किए गए थे।
किं निर्धनस्य वरस्य अस्वीकारो न पापाय।|Is the rejection of a poor groom not sinful?|क्या निर्धन दुल्हे का अस्वीकार पाप नहीं है?
तस्य मनसि धर्मः सुप्रतिष्ठितः।|Dharma is well established in his mind.|उसके मन में धर्म भलीभांति स्थापित है।
नित्यं सन्ध्यावन्दनं कर्तव्यम्।|Daily worship in evening should be performed.|प्रतिदिन संध्या वंदन करना चाहिए।
कति फलानि भक्षितानि वानरेण।|How many fruits were eaten by the monkey?|बंदर ने कितने फल खाए?
तेन गोपालेन मम भगिनी अपहृता।|My sister was abducted by that cowherd.|मेरी बहन का अपहरण उस ग्वाले द्वारा किया गया है।
स मां किमपि वक्तुम् ऐच्छत्।|He wanted to say something to me.|वह मुझे कुछ कहना चाहता था।
सर्वे शिक्षका लघुशिशून् अपि ताडयन्ति।|All the teachers even beat small children.|सभी शिक्षक छोटे बच्चों को भी मारते हैं।
सर्वाणि दशमुखानि छित्त्वा ते दास्ये।|After cutting off all the ten heads, (I) will give it to you.|सभी दस सिरों को काटकर आपको दुँगा।
मित्रस्य भगिन्यै अहं रोचे।|My friend's sister likes me.|मेरे मित्र की बहन को मैं अच्छा लगता हूँ।
हिंसायाः प्रतिरोधाय हिंसा धर्म्या।|The violence for stopping violence is the worthy Dharma.|हिंसा के रोकथाम के लिए हिंसा धर्ममयी है।
एकलाः कुक्कुरादिषु पुत्रत्वम् अनुभवन्ति।|Lonely people feel sonhood in dogs and such.|अकेले लोग कुत्ते आदि में बेटे का भाव पाते हैं।
चाणक्यो राज्ञो भोजने विषं क्षिपति।|Chanakya puts poison into the king's food.|चाणक्य राजा के भोजन में विष डालता है।
त्वं कुत इयान् कटुरभूः।|How come you became this much bitter?|तुम इतने कड़वे कैसे हो गये।
पितरौ केदारनाथं नेतास्मि।|I shall take parents to Kedarnath.|मैं माता-पिता को केदारनाथ ले जाऊँगा।
अद्य तस्मै धनम् अवश्यं दास्यामि।|Today, I will definitely give him money.| आज, मैं उसे पैसे अवश्य दूँगा।
जानीहि मां लोकनाथं पुराणम्।|Know me as the primordial, the Lord of the worlds.|मुझे लोकों के स्वामी (और) अतिप्राचीन जानो।
मनसो निग्रहो दुष्करः।|Restraint of the mind is difficult.|मन का नियंत्रण कठिन है।
यती राजानं दृष्ट्वा हसति।|The ascetic laughs upon seeing the king.|योगी राजा को देखकर हंसता है।
अधुना किं कर्तव्यम्।|What should be done now?|अब क्या किया जाना चाहिए?
त्वां विना को जानीयात्।|Who would know except you?|तुम्हारे बिना (और) कौन जानेगा?
इन्द्रस्य उद्यानस्य‌ नाम मिश्रकावणम्।|The name of Indra's garden is Mishrakavana.|इन्द्र के बगीचे का नाम मिश्रकावण है।
कदलित्वचि पदं मा न्यसेः।|Do not place the foot on the banana peel.|केले के छिलके पर पैर मत रखो।
कस्याः चित्रं पश्यसि ज्येष्ठ।|Whose picture do (you) see, Big bro!|तुम किसका चित्र देखते हो, भैया।
अद्य कपोतैः सह क्रीडिष्यामि।|Today, I will play with the pigeons.|आज, मैं कबूतरों के साथ खेलूँगा।
सुन्दरीणां दर्शनम् अपि सुखदम्।|Even the sight of pretty women is soothing.| सुंदरियों का दर्शन भी सुखदायक होता है।
शर्मणः सुपुत्रं पश्य त्वम्।|See the worthy son of Mr. Sharma.|शर्मा जी के सपूत को देखो।
सर्वदा अयं विहन्ति।|This one always obstructs.|यह सदा विघ्न डालता है।
सर्वज्ञानरहितोऽहं भगवन्।|I'm devoid of all knowledge, O Lord.|मैं सब ज्ञान से हीन हूँ, हे भगवन्।
ब्राह्मणाः कलौ धनार्थिनः अभवन्।|In the Kali (yuga), Brahmins became seekers of wealth.|कलियुग में ब्राह्मण पैसे के इच्छुक हो गए।
तव पितुर्नाम श्रुत्वैव क्षमे।|I forgive (you) only after hearing your father's name.|मैं केवल तुम्हारे पिता का नाम सुनकर छोड़ रहा हूँ।
कस्य गले वैजयन्तीमाला शोभते।|The Vaijayanti garland suits on whose neck?|किसके गले में वैजयन्ती माला शोभा देती है।
स्त्रियो मङ्गलगीतानि गायन्ति।|Women sing auspicious songs.|महिलाएँ मंगल गीत गाती हैं।
मम चतस्रः पितृव्या वर्तन्ते।|I have four paternal aunts.|मेरी चार चाचियाँ हैं।
मां नौकाधिपतिं जानीत।|Know me the captain of the ship.|मुझे नाव का स्वामी जानो।
अल्पधना अपि बाला मोदन्ते।|The children, even penniless, rejoice.|कम पैसों वाले बच्चे भी प्रसन्न रहते हैं।
वृद्धोपसेवया विनयः प्राप्यते।|Humility is attained by serving the elderly.| वृद्धों की सेवा करने से विनय प्राप्त होता है।
किं नु त्वया पिशाचो दृष्टः।|Have you really seen a fiend?|क्या सचमुच पिशाच देखा तुमने?
रामस्य कति पुत्रा आसन्।|How many sons did Rama have?|राम के कितने बेटें थें?
केवलं शिवं हि प्रदक्षिणीकरिष्ये।|I shall only circumambulate Shiva.|मैं केवल शिव की ही प्रदक्षिणा करूँगा।
स राजा सिंहद्वयं पालयति।|That king pets two lions.|वह राजा दो शेर पालता है।
अहेतुकं युध्येथे।|You two are fighting unreasonably.|तुम दोनों बिना कारण लड़ते हो।
एषा स्त्री क्रोधमुखी वर्तते।|This woman is hot-tempered.|यह स्त्री क्रोधी स्वभाव की है।
स्वचित्राणि अनभिज्ञेभ्यः न प्रेषणीयानि।|Personal pictures should not be sent to strangers.|अपने चित्र अनजान लोगों को नहीं भेजने चाहिए।
ननु सत्यं ब्रवीषि तात।|Are you speaking the truth, father!?|क्या आप सत्य बोल रहे हैं, बाबूजी।
तस्य गृहे बहूनि अस्त्राणि सन्ति।|There are many weapons in his house.|उसके घर में कई अस्त्र हैं।
अद्य मम मृत्युर्निश्चितः।|Today, my death is certain.|आज, मेरी मौत पक्की है।
धाव धाव वृषभ उदमदीत्।|Run! run! the bull has gone mad.|भागो, भागो, साँढ पागल हो गया है।
मम पिता माम् अवाक्छिरा लम्बयिष्यति।|My father will hang me upside down.|मेरे पिता मुझे उल्टा लटका देंगे।
प्रक्षिप्तं कन्दुकं गगनचुम्बनं करोति।|The thrown ball kisses the sky.|फेंकी गई गेंद आसमान को चुमती है।
धैर्यम् अवाप्नुहि कालेऽस्मिन्।|Have patience in this time.|इस समय धैर्य रखो।
तव माता अभिनेत्री अस्ति।|Your mother is an actress.|तुम्हारी माँ एक अभिनेत्री है।
कदा मम मनोरथः श्रोष्यते।|When will the desire of my mind be heard?|मेरी मन की इच्छा कब सुनी जाएगी?
अद्यापि एकोऽपि ग्राहको नागतः।|Even today, not a single customer has come.|आज भी एक ग्राहक नहीं आया है।
स्वधर्ममधिकृत्य शङ्कां कं पृच्छानि।|Whom should I ask about doubts regarding one's own Dharma?|अपने धर्म के संबंध में शंका किसको पूछूँ?
ज्ञानार्थिनाम् अभावो विद्यते लोके।|There is a lack of knowledge seekers in the world.|संसार में ज्ञान की इच्छा रखने वालों का अभाव है।
विनोपनयनं द्विजो न भवेत्।|One is not to become a twice-born without initiation.|बिना उपनयन के दुजन्मा नहीं बना जा सकता।
स्वामी आयकरं लोप्तुम् इच्छति।|Swami wishes to abolish income tax.|स्वामी आयकर हटाना चाहता है।
गतदिवसे मम गृहे मातुल आगतः।|The maternal uncle came to my house yesterday.|पिछले दिन मेरे घर मामा आए थे।
कैकेय्यराज्यं कुत्रास्ति गुरुवर।|Where is the kingdom of Kaikeya, O revered Guru?|कैकेय्यराज्य कहाँ है गुरुजी।
माता मां ताडयित्वा स्वयं रोदिति।|The mother weeps herself after beating me.|माँ मुझे पीटकर स्वयं रोती है।
वृद्धः कापेयं शिरोवस्त्रं धारयति।|The old man wears the monkey cap.|वृद्ध बंदर टोपी पहनते हैं।
अग्निहोत्रं कृत्वा सन्तोषम् अनुभवामि।|After performing the Agnihotra, I experience satisfaction.|अग्निहोत्र करके, संतोष का अनुभव करता हूँ।
कस्य आत्मना एतावत्पापं ध्रियते।|This much sin is borne by whose soul?|किसकी आत्मा द्वारा इतना पाप धरा जाता है?
अपि कुशली ते पिता मित्र।|Is your father well, O friend!?|क्या तुम्हारे पिता ठीक हैं, मित्र?
प्रतिदिनं ते नाम जिजपिषामि।|I want to chant your name every day.|मैं प्रतिदिन आपका नाम जपना चाहता हूँ।
मम स्वप्नाप्सरं कदा प्राप्स्ये।|When will I attain my dream nymph?|मैं अपनी सपनों की अप्सरा को कब प्राप्त करूँगा?
तव कपालं सञ्चूर्णयिष्यामि।|I will crush your skull.|मैं तुम्हारा कपार चूर दूँगा।
त्यक्तं मया पितृगृहं पत्ये ते।|I have abandoned my father's house for you, (my) husband.|मैंने तुझ पति के लिए पिता का घर त्याग दिया।
प्रधानमन्त्रिणः सुप्रेयसीं याचिष्यामि।|I will ask for a good lover from the Prime Minister.|मैं प्रधानमंत्री से अच्छी प्रेयसी माँग लूँगा।
सौविध्यं वर्द्धते दुःखेन सह नित्यम्।|Convenience is increasing regularly along with the sorrow.|दुःख के साथ सुविधा नित बढ़ रही है।
लघुतां युयुधानस्य लाघवेन विशेषयन्।|Overcoming the Quickness of Satyaki by his own quickness|
शनैः याहि|go slow|धीरे चलो
एकमना (सन्) शृणुष्व|listen with a focussed mind|मन को एक  करके सुनो
कर्मणा अनुरुपेण भृत्यः लभ्यते भक्तवेतनम्|One gets food and salary according to one's work.|अपने काम के अनुरूप नौकर भात एवं वेतन पाता है
आयत्यां च तदात्वे च|In future and even in present time.|
आसूर्यावसानात् अहं गृहं प्राप्स्यामि|Before the sun sets, I will reach home.|सूरज डूबने से पहले मैं घर पहुंच जाउंगा
कुरु त्वमात्मनो गुप्तिम्|You save yourself|
रक्ष राजानमाहवे हते राज्ञि पराभवः।|During war, protect king. If king is dead, there is defeat.|
मावमंस्था वचो मम|Don't ignore my words|
पाणिलाघवम्|Quickness of hands|
ध्वजः दोधूयते|Flag flutters|
उपधारयति|he okays|मान लेता है
विवर्तमाने तिग्मांशौ|As the sun sets|सूरज के ढलते ढलते
सः रोगी ग्लानिं वेपथुं च वमथुं च अनुभूतवान्।|That patient experienced tiredness, shivering and vomiting.|
आयुष्मन् कतरेण मार्गेण त्वां गृहं प्रापयामि।|Ayushman, by which of these two paths shall I lead you home?|आयुष्मन् दोनों में से किस मार्ग से तुम्हें घर ले चलूं।
अच्छान्दसं वाक्यं मा वद।|Don't speak unvedic stuff.|वेदविरुद्ध बात मत करो।
शुष्ट्वा अभवत् खर्ज्जूरम् इव प्रियः।|After being exploited, the lover became like a date.|सूखकर हो गयें हैं छुहारे-से पिया।
तव हस्ते मेन्धी अतिशोभते।|The henna suits very well on your hand.|तुम्हारे हाथ में मेहंदी बहुत शोभती है।
कस्य धनम् अत्र पतितम्।|Whose money has fallen here?|यहाँ किसका धन गिरा है?
कोऽयं सततं माम् अनुसरति।|Who is this that constantly follows me?|यह कौन है जो लगातार मेरा पीछा कर रहा है?
सुविचार्यैव वक्तव्यं सदा।|One should always speak after thinking well.|सदा अच्छे से सोचकर ही बोलना चाहिए।
कारागृहस्य दर्शनं ते भाग्ये वर्तते।|The scene of the prison lies in your destiny.|जेल देखना तुम्हारे भाग्य में है।
नमामि सङ्गमतीर्थम् अहम्।|I bow to the sacred pilgrimage of Sangama.|मैं संगम तीर्थ को प्रणाम करता हूँ।
यूयं मां न ज्ञातुं शक्नुथ।|You all cannot know me.|तुमलोग मुझे नहीं जान सकते।
तव पितरम् अपि क्रेष्यामि।|I will also buy your father.|मैं तुम्हारे पिता को भी किन लूँगा।
एकवारं स्वादं हि गृहाण पुत्र।|Take the taste for once, son.|एक बार स्वाद ही चख लो, बेटा।
विबर्हः अण्डजः|Featherless bird|
यत्र स रामः तत्र रथं चोद्यताम्।|Let the chariot be driven there, Where That Rama is.|जहाँ वह राम है, वहाँ रथ को पहुँचाया जाए।
श्रूयतां मम मणेः वृत्तान्तः।|Let the story of my gem be heard.|मेरे मणि की कहानी सुनो।
ततस्ततः किम्।|What follows the following?|तो तब क्या?
अहं मूर्खेषु नोपदेशं करोमि।|I do not teach fools.|मैं मूर्खों को उपदेश नहीं देता।
रामनरेशेण मम पूर्ववैरम् अस्ति।|There is a previous enmity of mine with Rama Naresha.|राम नरेश के साथ मेरी पहले की दुश्मनी है।
शिशुर्निद्रावशम् उपगतः।|The baby has gotten into the possession of sleep.| बच्चा नींद के वश में जा चुका है।
मनुजोऽयं वा स्वयं महाकालः।|Is this a man or the great lord of death himself?|क्या यह मनुष्य है या स्वयं महाकाल है?
अग्निना पवित्रीभूय याज्ञसेनी उपस्थिता।|Draupadi stands present after being purified by fire.|आग द्वारा पवित्र होकर द्रौपदी उपस्थित है।
संस्कृतम् इदं चेत् किं नाम विकृतम्।|If this is Sanskrit, what is named Vikrita?|यदि यह संस्कृत है, तो विकृत किसका नाम है?
पाण्डित्यं खलु शास्त्रेणैव उपदिश्यते।|Scholarship is indeed taught only through the scripture.|बुद्धिजीविता अवश्य शास्त्र से ही सिखायी जाता है।
इतः प्रभृति नगर पर्यन्तं वृष्टो देवः||यहां से लेकर शहर तक वर्षा हुई।
हिमालयात् प्रभृति रामेश्वर पर्यन्तं भारतवर्षं वर्तते||हिमालय से लेकर रामेश्वर तक भारतवर्ष है।
प्रतिपदायाः आरभ्य त्रयोदशीपर्यन्तं विद्यालयं चलति। चतुर्दश्यां पौर्णमास्यां च अवकाशो वर्तते||प्रतिपदा से लेकर त्रयोदशी तक विद्यालय चलता है। चतुर्दशी और पूर्णिमा को अवकाश होता है।
भारतात् बहिर्वेदविद्या दुर्लभा||भारत से बाहर वेदविद्या दुर्लभ है।
पृथ्वीलोकाद् ऊर्ध्वमन्तरिक्षलोको वर्तते, ततः ऊर्ध्वञ्च द्युलोकः||पृथ्वीलोक के ऊपर अन्तरिक्ष लोक है और उससे ऊपर द्युलोक।
अतः ऊर्ध्वं षष्ठी-विभक्तेः पाठो भविष्यति||इसके पश्चात् षष्ठी विभक्ति का पाठ होगा।
सोमवासराद् ऊर्ध्वं मङ्गलवासरो भवति||सोमवार के बाद मंगलवार होता है।
मङ्गलवासराद् अनन्तरं बुधवासरः||मंगलवार के बाद बुधवार होता है।
भोजनस्य सम्यक् पाकाय भोजनाद् अनन्तरं जलं न पातव्यं किन्तु देशि-गुडं भोक्तव्यम्||भोजन के सुपाचन हेतु तुरन्त बाद पानी नहीं पीना चाहिए, किन्तु देशी गुड़ (रसायन रहित) खाना चाहिए।
न तिष्ठति तु यः पूर्वां नोपास्ते यश्च पश्चिमाम्। स शूद्रवत् बहिष्कार्यः सर्वस्माद् द्विजकर्मणः।।||जो मनुष्य प्रातः व सायं सन्ध्योपासना नहीं करता उसे शूद्र के समान समस्त द्विजकर्म (ब्राह्मण, क्षत्रिय व वैश्य के कर्म) से वंचित कर देना चाहिए।
अप अलियाबादात् दक्षिणाहि मेघो मेहति||अलियाबाद को छोड़कर दक्षिण दिशा में बादल बरस रहे हैं।
परि भारतात् परिवारो दुर्लभः||भारत को छोड़कर अन्य देशों में परिवार मिलना दुर्लभ है।
परि कृषेरन्ये व्यवसायाः औन्नत्याय न कल्पते||खेती को छोड़कर अन्य व्यवसाय उन्नति कराने में समर्थ नहीं हैं।
(मर्यादा) आ ग्रामाद् दृढो मार्गो वर्तते||गांव को छोड़कर पक्की सड़क है।
आ क्षेत्रात् गुरुकुलं शुचिकृतम्||खेत को छोड़कर सारा गुरुकुल साफ किया।
(अभिविधि) आ कुमारेभ्यः यशः पाणिनेः||बच्चे-बच्चे तक पाणिनि की कीर्ति फैली हुई है।
आ बालात् आतङ्कं प्रासारयत मुगलशासकाः||यवन शासकों ने अपने आतंक से बच्चे तक को नहीं छोड़ा था।
उत्तरा आ काश्मीरात् दक्षिणाहि आ रामेश्वरात् पश्चिमे आ गुजरातात् पूर्वस्याञ्च दिशि आ अरुणाचलप्रदेशात् भारतवर्षस्य सीमा अस्ति||उत्तर में कश्मीर तक, दक्षिण में रामेश्वर तक, पश्चिम में गुजरात तक तथा पूर्व में अरुणांचल प्रदेश तक भारत की सीमा है।
आचार्यात् प्रति शिष्यः सभायाम् उपातिष्ठत्||आचार्य के प्रतिनिधि के रूप में शिष्य सभा में उपस्थित रहा।
पाण्डवेभ्यः प्रति कृष्णः शान्तिप्रस्तावं नीत्वा दुर्योधनम् उपातिष्ठत्|| पाण्डवों की ओर से शान्ति प्रस्ताव लेकर कृष्ण दुर्योधन के पास गए।
रुग्णपितुः प्रति पुत्रः कार्यम् अकार्षीत्||बीमार पिता के बदले में पुत्र ने काम किया।
तिलेभ्यः प्रति माषान् यच्छति||तिल के बदले में उड़द देता है। (किसी से तिल लेकर बदले में उड़द देता है।)
गोदुग्धात् प्रति महिषीदुग्धं यच्छति||गोदुग्ध के बदले भैंस का दूध देता है। (किसी से गाय का दूध लेता है, बदले में भैस का दूध देता है।)
विद्यायाः प्रति धनं ददाति||विद्या के बदले में धन देता है।
आपणिकः रुप्यकेभ्यः प्रति वस्तूनि ग्राहकाय ददाति||दुकानदार पैसे के बदले में ग्रहक को वस्तुएं देता है।
