Hindi|Sanskrit|English
दोनों एक ही वृक्ष पर पास-पास आकर बैठे।|The both sat on the same tree and the same branch near each other.| उभौ एकस्मिन्नेव वृक्षम् आगत्य एकस्यां शाखायां समीपतया उपाविष्टाम्।
एक के मुँह में साँप, एक के मुँह में चूहा ।|One of them had a snake in its mouth and the other a mouse.|एकस्य मुखे सर्प:, एकस्य मुखे मूषिक:।
साँप ने चूहे को देखा तो वह यह भूल ही गया कि वह उल्लू के मुँह में है और मौत के करीब है।|When the snake saw the the mouse it forgot that is it was in the beak of the owl awaiting death.|यदा सर्पो मूषिकं दृष्ट्वान् तदा स एतत् विस्मृतवान्नेव यत् स दिवान्धस्य मुखे अस्ति मृत्यो: च समीपोऽस्ति।
चूहे को देख कर उसके मुँह में लार बहने लगी।|The sight of the mouse made the snake's mouth water.|मूषकं दृष्ट्वा तस्यानने रसधारो वहितुमारभत।
वह भूल ही गया कि मौत के मुँह में है।|It forgot that it was in jaws of death.| स विस्मृतवान्नेव यत् स मृत्यो: मुखे अस्ति।
उसको अपनी जीवन जीने की इच्छा ने पकड़ लिया और चूहे ने जैसे ही देखा साँप को, वह भयभीत हो गया, वह काँपने लगा।|The desire to live captured it and the mouse started trembling at the sight of the snake.|तस्य जीजीविषा तं गृहीतवती तथा मूषक: यथैव सर्पं दृष्टवान्, स भीत्वा कम्पितुमारभत।
कौन बोल रहा था की दसवीं के बाद मज़े होते हैं।|Who said that one can have fun after 10th class?|कः वदन् आसीत् यत् "10 कक्षायाः अनन्तरं तु आनन्दः एव अस्ति।"
जहाँ लोगों की सोच समाप्त होती वहीं से इन दोनों महानुभवों की सोच प्रारम्भ होती है।|Where people stop thinking that is where the the thoughts of both these gentlemen start.|यात्रा जनानां विचाराः समाप्ताः भवन्ति तत्र एव एतेषां भद्रलोकयोः विचारः आरभ्यते।
वह राम और श्याम के बीच कुर्सी पर बैठ गया|He sat between Ram and Shyam.|स रामं शयामं चान्तरा आसन्दम् अध्यास्त।
पति और पत्नी पनीर चिल्ली खाने के लिए रेस्टोरेंट में जाकर अपने अपने कुर्सी पर बैठ गये।|Husband and wife went to sit in the restaurant to eat chilli paneer.|भर्ता भार्या च अल्पाहारगृहं गत्वा महामरीचिकायुक्तप्राणीरं व्यञ्जनं भक्षयितुं स्वस्वासन्दम् अध्यासाताम्।
सभी लोग प्रवचन सुनने के लिए अपने अपने आसनों पर बैठ गये।|All sat in their seats to listen to the speech.|सर्वे जना: प्रवचनस्य श्रवणाय स्वस्वासनम् अध्यासत।
तुम बिछावन पर पलठी मारकर क्यों बैठ गये?|Why did you turn and sit on the bed?|युवां शय्यां किमर्थं स्वस्तिकासनम् अध्यास्था:?
तुम दोनों मुझसे बिना पूछे ही अपने अपने बेंच पर क्यों बैठ गये?|Why did the two of you sit on your benches without asking me?|युवां मम आज्ञामन्तरेणैव किमर्थं स्वकीयं स्वकीयम् आसनम् अध्यासाथाम्?
शिक्षक ने जैसे ही तुम लोगों को बैठने के लिए कहा, तुम लोग तुरन्त ही अपने-अपने बेंचों पर बैठ गए।|No sooner had the teacher asked you guys to sit down, than you sat down on your seats.|शिक्षकः यदा उपवेष्टुमाज्ञापितवान् तदा यूयं झटिति स्वकीयं स्वकीयं पीठिकाम् अध्याध्वम्।
भयंकर गर्मी के कारण सुस्ताने के लिए मैं एक वृक्ष के नीचे जमीन पर ही बैठ गया।|To take rest from the scorching heat, I sat below a tree.|।प्रचण्डातपै: विश्रामं कर्तुम् अहम् एकस्मात् वृक्षात् अध: भूमिमेव अध्यासि।
बस में हमदोनों अपने अपने सीट पर बैठ गए।|The both of us sat down in our seats in the bus.|लोकयाने आवां स्वस्वासनम् अध्यास्वहि।
हमलोग वर्ग में पढ़ने के लिए अपने अपने बेंचों पर बैठ गए।|We sat in our benches for group study|वयं वर्गे अध्ययनाय स्वसवासनम् अध्यास्महि।
एयर टाइट जार में स्टोर करें।|Store in an air-tight jar.|वायुरोधकघट्टयां संग्रहणं करोतु।
कुछ लोग इसमें खटाई के लिए नींबु/आमचूर पाउडर का भी इस्तेमाल करते हैं।|Some people use lemon or aamchur powder to make sour.|केचन जनाः अम्लतायाः कृते निम्बुकस्य शुष्काम्रचूर्णस्य वापि उपयोगं कुर्वन्ति।
लेकिन इसके बिना भी यह राई के अधिक इस्तेमाल की वजह से खट्टा हो जाता है।|But even without this it becomes sour due to excessive use of mustard.|परन्तु एतत् विना अपि रक्तसर्षपस्य अतिप्रयोगात् एतत् अम्लीयं भवति।
दूसरे अचारों की तुलना मे इसमें नमक थोड़ा ज्यादा डाला जाता है जो इसे प्रीज़र्व करने में मदद करता है।|Compared to other pickles, a little more salt is added in it which helps in preserving it.|अन्येभ्यः सन्धितेभ्यः अपेक्षया एतस्मिन् किञ्चित् अधिकं लवणं निक्षिप्यते यत् एतस्य संरक्षणे सहायकं भवति।
राई 1/2 कप।|Half a cup of mustard.|रक्सतर्षपः अर्धचषकपरिमित:।
हरी मिर्च ढाई सौ ग्राम।|Green chillies 250 grams.|हरितमरिचं पञ्चाशदधिकद्विशतं ग्रामपरिमितम्।
सौंफ 1/4 कप।|Fennel 1/4 cup.|मधुरा चतुर्थांशचषकपरिमिता।
मेथी 1/4 कप।|Fenugreek 1/4 cup.|मेथिका चतुर्थांशचषकपरिमिता।
लाल मिर्च स्वादानुसार (ऐच्छिक)।|Red chilli as per taste|रक्तमरिचम् ऐच्छिकस्वादानुसारम्।
नमक 2 टेबल स्पून/स्वादानुसार।|Salt 2 tbsp/as per taste.|लवणं चमसद्वयपरिमितम् स्वादानुसारम्
हल्दी 1 टेबल स्पून।|Turmeric 1 tablespoon.|काञ्चनी एकचमषपरिमिता
सरसों का तेल 2 टेबल स्पून।|Mustard oil 2 tablespoon.|सर्षपतैलं द्विचमसपरिमितम्।
टीचर- मैं दो वाक्य दूंगा उसमें आपको अंतर बताना है।|Teacher: I will give you two sentences. Tell me the difference between the two|अध्यापकः = वाक्यद्वयं दास्यामि। उभयोः मध्ये अन्तरं वर्णितव्यम्|
पहला वाक्य- उसने बर्तन धोए।|।First sentence - He washed the utensils.|प्रथम-वाक्यम् = सः पात्राणां प्रक्षालनं कृतवान्।
दूसरा वाक्य- उसे बर्तन धोने पड़े।|Second sentence - He had to wash the utensils.|द्वितीय-वाक्यम् = सः पात्राणां प्रक्षालनाय विवशीभूतवान्।
पप्पू- पहले वाक्य में कर्ता अविवाहित। दूसरे में कर्ता विवाहित।|Pappu: In the first sentence, the subject is unmarried. In the second sentence, the subject is married.पप्पुः = प्रथम-वाक्ये कर्ता अविवाहितः। द्वितीय-वाक्ये कर्ता विवाहितः।
से
राम सोमवार से बीमार है।|Rama was sick since monday |रामः सोमवासरतः रुग्णोऽस्ति।
सुबह से वर्षा हो रही है।|It has been raining since morning|प्रातःकालात् वृष्टिः भवति।
राम एक महीने से बीमार है।|Rama's been sick for the past month.|रामः मासं रुग्णोऽस्ति।
मैं जब से यहां आया तब से पन्द्रह वर्ष बीत गए हैं।|It's been 15 years since I came here.|यदारभ्य अहम् अत्र आगतः तदारभ्य पञ्चदशवर्षाणि व्यतीतानि।
राम सबसे अच्छा है।|Rama is the best.|रामः सर्वेषु सर्वोत्कृष्टः अस्ति।
राम श्याम से अच्छा है।|Rama is better than Shyama|रामः शयामतः उत्तमतरः।
मेरे लिए भिक्षा मांगने से मरना अच्छा है।|I'd rather die than beg.|मम कृते भिक्षायाचनतः आत्महत्या वरम्।
मैंने उससे कहा।|He was told by me.|मया स कथितः।
मैं ध्यान से पढ़ता हूं।|I studied carefully.|अहं ध्यानेन अध्ययनं करोमि।
मेरा कुत्ता कुर्सी से कूद गया।|My dog jumped from the chair.|मम सारमेयः आसन्द्याः अकूर्दत।
मेरा मकान आग से नष्ट हो गया।|My house burned down.|मम हर्म्यम् अग्निकाण्डेन नष्टम् अभवत्।
इंजन वाष्प से चलता है।|Engine runs by vapour.|अभियन्त्रः वाष्पैः चलति।
उसने मुझे जाने से रोका।|He stopped me from leaving.|स मां गमनात् न्यवारत्।
मेरे पिताजी ने नौकर को कहा कि बाजार से एक किलो टमाटर खरीदकर ले आओ।|My father ordered his servant to get 1 kilo of tomatoes from the market.|मम तातो भृत्यमादिष्ट्वान् यत् आपणत: एककिलोपरिमितं रक्ताङ्गं क्रीत्वा आनय।
मेरे पिताजी ने नौकर को कहा कि बाजार से एक किलो टमाटर खरीदकर ले आओ।|My father ordered his servant to get 1 kilo of tomatoes from the market.|आपणत: एककिलोपरिमितं वार्तकीं क्रीत्वा आनयेति मम तातो भृत्यमादिष्ट्वान्।
मैंने मन ही मन सोचा कि यह कितना सीधा लड़का है।|I thought to myself, how innocent this boy was.|
अन्तर्मनसि अचिन्तयम् यत्‌ एष कुमारः कियान् आर्जवः।
मैंने मन ही मन सोचा कि यह कितना सीधा लड़का है।|I thought to myself, how innocent this boy was.|एष कुमार: कियान् प्रगुण इत्यहम् अन्तर्मनसि अचिन्तयम्।
उसने मुझसे पूछा कि आजकल मैं क्या-क्या करता हूं और किस प्रकार जीवन बिताता हूं।|He asked me waht I was doing these days and how I was living life.|स मामपृच्छत् यत् अद्यत्वेऽहं किं-किं करोमि केन च प्रकारेण जीवनयापनं करोमि।
उसने मुझसे पूछा कि आजकल मैं क्या-क्या करता हूं और किस प्रकार जीवन बिताता हूं।|He asked me waht I was doing these days and how I was living life.|अद्यत्वेऽहं किं-किं करोमि कथञ्च जीवनं यापयामीति स मामपृच्छत्।
क्या आप जानते हैं कि वह आजकल मेहनत करता है या नहीं?|Do you know whether he is working hard these days or not?|किं भवान् जानाति यत् स अद्यत्वे श्रमं करोति न वा?
मुझे मालुम नहीं है कि वह शादीशुदा है या नहीं?|I do not know whether he is married or not.|मया न ज्ञातं यत् स विवाहित: वा न?
हमें चाहिए कि पंचवर्षीय योजना को सफल बनाएं।|We should make the five-year plan successful.|वयं पंचवर्षीयं योजनां सफलां कुर्याम।
हमलोगों को चाहिए कि गरीबों की मदद करें।|We should help the poor.|वयं निर्धनानां साहाय्यं कुर्याम।
यह सर्वसम्मति से तय हुआ कि वह उम्मीदवार हो।|It was decided unanimously that he be the candidate.|एतत् सर्वसम्मतया निर्णीतोऽभवत् यत् स प्रत्याशी भवतु।
वह बिछावन पर लेटा ही था कि एक सांप निकल पड़ा।|No sooner had he laid down on the cot, than a snake got out.|स शय्यायाम् अशयिष्ट एव, तत्क्षणैव एक: अहि: निर्गत:।
चोर घर में घुसा ही था कि मेरी नींद खुल गई।|No sooner had the thief snuck in, than I woke up.|चौर: हर्म्यम् अविक्षदेव, तत्क्षणैव अहम्  अजागरिषम्।
मेरे मित्रों ने प्रस्ताव किया कि हमलोग छुट्टियों में समाज की सेवा करें।|My friends proposed that we do social service during the holidays.|मम मित्राणि अभिहितवन्त: यत् वयम् अवकाशकालेषु समाजसेवां कुर्याम।
ध्यान पूर्वक समझिए सनातन संस्कृति की अद्भुत वास्तुकला और शिल्पकला को।|Understand carefully the amazing architecture and craftsmanship of Sanatan culture.|सनातनसंस्कृते: अद्भुत-वास्तुकलां शिल्पकलां च ध्यानपूर्वकं अवगच्छन्तु।
हजारो वर्ष पुराना यह पूरा मंदिर एक ही चट्टान को काटकर बना है।|This entire temple, which is thousands of years old, is built by cutting a single rock.|सहस्रवर्षपुराणम् एतत् पूर्णमन्दिरं  एकस्यैव शिलाखण्डस्य छेदनेन निर्मितम् अस्ति।
आदमी कितनी भी मेहनत कर ले परन्तु यह बिना मशीनों के संभव नही है।|No matter how hard a man works, it is not possible without machines.|मनुष्यः कियदपि परिश्रमं कुर्यात्, परन्तु यन्त्रैः विना न सम्भवति।
मोहन जोदड़ो हड़प्पा सभ्यता कैसे समाप्त हुई?|How did the Mohenjo Daro Harappan civilization end?|मोहनजोदड़ो हड़प्पा-सभ्यता कथं समाप्ता अभवत्?
आज विज्ञान भी कहता है की ऐसा प्रतीत होता है जैसे यहां कभी परमाणु बम गिरा हो जबकि हमारा वर्तमान विज्ञान परमाणु बम का पहली बार उपयोग दूसरे विश्व युद्ध मे मानता है।|Today science also says that it seems as if an atomic bomb had ever been dropped here, whereas our current science believes that the first use of an atomic bomb was in the Second World War.|अद्यत्वे विज्ञानमपि वदति यत् अत्र परमाणुबम्ब: पातितः इव प्रतीयते, यद्यपि अस्माकं वर्तमानविज्ञानं द्वितीयविश्वयुद्धे प्रथमवारं परमाणुबम्बस्य उपयोगं विचारयति।
इन चट्टानों को काटना ही बड़ी बात नही है बल्कि इस तरह का नक्शा तैयार करना भी बड़ी बात है और उससे भी बड़ी बात है ऐसे निर्माण की कल्पना करना।|Not only cutting these rocks is a big deal but preparing such a map is also a big deal and even bigger is imagining such a construction.|एतेषां शिलाखण्डाणां कर्तनमेव न केवलं महत् कार्यं, अपितु एतादृशस्य मानचित्रस्य सज्जीकरणमपि महत्कार्यमस्ति तथा च तस्मात् अपि महत्त्वपूर्णं यत् एतादृशस्य निर्माणस्य कल्पना अस्ति।
या तो यह माना जा सकता है कि देवताओं के द्वारा इनका निर्माण किया है या हमारे पूर्वज ज्ञान और ज्ञान में हमसे बहुत ज्यादा आगे थे।|Either it can be believed that they were created by the gods or our ancestors were far ahead of us in knowledge and wisdom.|एतानि देवैः निर्मितानि इति वा अस्माकं पूर्वजाः ज्ञानविज्ञाने अस्मभ्यं बहु अग्रे आसन् इति वा कल्पयितुं शक्यते।
पश्चिम की प्राचीन एलियंस थ्योरी भी ज्यादा गलत नही है।|The ancient alien theory of the West is also not very wrong.|पश्चिमस्य प्राचीनः परग्रहसिद्धान्तः अपि बहु दोषो नास्ति।
चाहे वह सनातन इतिहास हो या किसी अन्य किसी पंथ का इतिहास।|Be it Sanatan history or the history of any other sect.|स: सनातन-इतिहासो भवेत् उत् कस्यचिद् अन्यसम्प्रदायस्य इतिहास:।
प्रत्येक का मानना है की अन्य ग्रहों से भी उन्नत संस्कृति के लोग धरती पर आते थे और धरती की संस्कृति को अपना योगदान देने में सहायक थे।|Everyone believes that people with advanced cultures from other planets also came to Earth and were helpful in contributing to the Earth's culture.|अन्यग्रहेभ्यः अपि उन्नतसंस्कृतेः जनाः पृथिव्याम् आगत्य पृथिव्याः संस्कृतिं प्रति स्वयोगदानं दत्तुं सहायकाः आसन् इति सर्वेषां मतम्।
महाबलीपुरम के समुद्र तट पर स्थित यह मंदिर प्राचीन वास्तु कला का उदहारण है।|Located on the beach of Mahabalipuram, this temple is an example of ancient architecture.|महाबलीपुरमस्य समुद्रतटे स्थितम् इदं मन्दिरं प्राचीनवास्तुकलानां उदाहरणम् अस्ति।
मंदिर भगवान शिव और भगवान विष्णु को समर्पित है।|The temple is dedicated to Lord Shiva and Lord Vishnu.|मन्दिरं भगवद्भ्यां शिवाय विष्णवे च समर्पितमस्ति।
इसे स्टोन टेम्पल इसलिए कहते हैं क्योंकि मंदिर वाला भाग ग्रेनाइट पत्थर से बना हुआ है जो देखने में बहुत ही सुंदर दिखता है।|It is called Stone Temple because the temple part is made of granite stone which looks very beautiful.|मन्दिरस्य भागः ग्रेनाइट-शिलायाः निर्मितः अस्ति य: द्रष्टुं अतीव सुन्दर: दृश्यते इति कारणतः अस्य शिलामन्दिरम् इति उच्यते ।
मंदिर के प्रांगण में सात पगोडा की पत्थर की मूर्तियां हैं जिन्हें देखना अद्भुत है।|In the courtyard of the temple there are stone sculptures of seven pagodas which are wonderful to see.|मन्दिरस्य प्राङ्गणे सप्तपगोडानां शिलामूर्तयः सन्ति ये द्रष्टुं अद्भुताः सन्ति।
KBC विजेता सुशील कुमार द्वारा मेरे बरामदा में लगाए गए गौरैया के घोसला में आज गौरैया का शुभ आगमन हो गया।|Today, the auspicious arrival of sparrows took place in the sparrow nest planted by KBC winner Sushil Kumar in my verandah.|अद्य मम आलन्द्यां केबीसी-विजेत्रा सुशीलकुमारेण स्थापिते चटकानीडे चटकाया: शुभागमनं जातम्।
सुशील जी को इस नेक कार्य के लिए बहुत-बहुत आभार।|Many thanks to Sushil ji for this noble work.|अस्य उदात्तकार्यस्य कृते सुशीलाय बहवो धन्यवादा:।
मुझे गोंद से अपनी फटी हुई किताब को चिपकाना है।|I need to stick my torn book with glue.|मया निर्यासेन स्वस्य विदीर्णं पुस्तकं लसयितव्यमस्ति। 
चित्रों को अपने प्रोजेक्ट पर चिपकाने के लिए गोंद का उपयोग किया जाता है।Glue is used to stick pictures to your project.||भवतः परियोजनायां चित्राणि लसयितुं निर्यासस्य उपयोगो भवति।
रेखा - आठ बजकर अंठावन मिनट को आने वाली Intercity Express ट्रेन की रिपोर्ट?|The status of the Intercity Express arriving at 8:58|रेखा - द्विकलान्यूननववादने आगमनस्य Intercity Express नाम्न: रेलयानस्य सूचना?
टिकट काउंटर - ओह, आप गलत जगह आ गई है। कृपया कर आप वहां जाकर पूछताछ काउंटर से पूछिए।|Enquiry counter - Oh! You came to the wrong place. PLease go there and ask at the enquiry counter over there.|चिटिकापटलम् - ओह!भवती असम्यक् स्थानम् आगतवती। कृपया तत्र गत्वा परिपृच्छपटलं पृच्छतु।
रेखा - क्या यह गाड़ी समय पर चल रही है?|Rekha - Is the train running on time?|रेखा - किं रेलयानमिदं निर्दिष्टे समये चलति?
पूछताछ काउंटर - नहीं।यह गाड़ी समय पर नहीं चल रही है।यह एक घण्टा देर है।सभी गाड़ियां देर से चल रही है।|Enquiry counter - No! The train is not running on time.|परिपृच्छपटलम् - नैव! रेलयानमिदं निर्दिष्टे समये न चलति।
अयं होरात्मकः विलम्बः अस्ति। इदानीं सर्वाणि रेलयानानि विलम्बेन चलन्ति।
रेखा - क्या यह रामपुर के लिए सीधी गाड़ी है?|Rekha - Is this the train going straight to Rampur?|रेखा - एतद् रेलयानं रामपुरस्थानकं प्रति साक्षात् गच्छति वा?
पूछताछ काउंटर - नहीं।आपको गाड़ी बदलनी होनी होगी। लेकिन, Bandra Express सीधे रामपुर जाती है।|Enquiry counter - No. You need to change trains. But Bandra Express goes straight to Rampur. |परिपृच्छपटलम् - नैव। भवत्या रेलयानं परिवर्तिस्यते।परन्तु, Bandra Express इति रेलयानं साक्षात् रामपुरस्थानकं गच्छति।
रेखा - क्या रामपुर के लिए सीधा टिकट मिल सकता है?|Rekha - Can I get a ticket to Rampur?|रेखा - साक्षात् रामपुरस्थानकं गमनाय मया चिटिका प्राप्स्यते वा?
पूछताछ काउंटर = हां, मिल सकता है।|Enquiry counter - Yes|परिपृच्छपटलम् = आम्।
रेखा - मालभाड़ा किस प्रकार लिया जाता है?|Rekha - How is freight charged?|रेखा - वस्तूनां भाटकं कथं स्वीक्रीयते?
पत्नी ने कहा, "खाने के समय दूर्दर्शन देखो मत। स्वाद नहीं कर पाओगे।"|The wife says, "Don't watch television during meals.You can't taste the stuff."|पत्नी वदति। भोजनसमये दूरदर्शनं मा पश्य।पदार्थस्य रुचिं ग्रहितुं न शक्यते भोः।
पति ने कहा, "अगर स्वाद होता तो दूरदर्शन क्यों देखता?"|The husband says, "Why would I watch television if this food is delicious"|पतिः वदति। इदं भोजनं रुचिकरं अभविष्यत् चेत् अहं किमर्थं दूरदर्शनं पश्यानि।
शीला - देखो! तुम पीछे अपने उचित स्थान पर चले जाओ।|Sheela - Look! You go back to your proper place.|शीला - हे! त्वं पृष्ठत: स्वोचितं स्थानं गच्छ।
नीलम - क्यों? मैं जहां चाहुंगी वहीं खड़ी रहुंगी।|Neelam - Why? I will stand wherever I want.|नीलमा = किमर्थम् ? यत्र अहमेषिष्यामि तत्रैव स्थास्यामि।
शीला - नहीं, तुम नहीं कर सकती। तुम धक्का देकर नहीं घूस सकती और लाईन नहीं तोड़ सकती।|Sheela - No, you can't. You cannot push and enter and cannot break the line.|शीला - नैव। त्वम् इत्थं कर्तुं न शक्नोषि। त्वं प्रणोदं कृत्वा वेष्टुं न शक्नोषि तथा पङ्क्तिभङ्गं कर्तुं न शक्नोषि।
नीलम = मैं कहती हूं कि मैं लाइन के बाहर नहीं जा सकती। क्या तुम्हें हिम्मत है कि तुम मुझे बाहर जाने के लिए कहो? ऐसी गुस्ताखी फिर मत करना।|Neelam - I say I can't go out of line. Do you dare ask me out? Don't do such a thing again.|नीलमा - अहं कथयामि यत् अहं पङ्क्त्या: बहि: निर्गन्तुं न शक्नोमि।अपि तव पार्श्वे साहसोऽस्ति यत् त्वं मां बहिर्गमनाय कथय ? एतादृशीं धृष्टतां पुनः मा कुरु।
शीला = अपने से बड़ों के साथ गुस्ताख़ी करना बंद करो। नियम तोड़ने का तुम्हें कोई अधिकार नहीं है।|Sheela - Stop being rude to your elders. You have no right to break the rules.|शीला = ज्येष्ठमहानुभावान् प्रति अशिष्टव्यवहारं मा कुरु। नियमभङ्गस्याधिकारः तव नास्ति।
नीलम = हां, मैं तोड़ूंगी।तुम्हें इससे क्या मतलब?|Neelam = Yes, I will do so. What does it got to do with you?|नीलमा = आम्!अहं करिष्यामि। अनेन तव कोऽभिप्राय:?
शीला = पुलिस को बुलाने के लिए मुझे मजबूर मत करो।|Sheela = Don't force me to call the police.|शीला = रक्षकस्य आह्वानाय मां बाध्यं मा कुरु।
नीलम = ओह। तुम मुझे डरा रही हो क्या? मैं तुम्हारी बन्दरघुड़की से नहीं डरने वाली हूं।|Neelam = Oh. Are you scaring me? I am not afraid of your monkey talk.|नीलमा = ओह!त्वं मां भीषयसि वा? अहं तव अनावश्यकभर्त्सनया न बिभेमि।
शीला = तुम तो असली बाघिन लगती हो।जरा ठहरो।अभी मैं तुमको सबक सिखाती हूं।|Sheela = You look like a real tigress. Just wait. Now I will teach you a lesson.|शीला = त्वं तु खलु व्याघ्रा प्रतीयते।किञ्चितक्षणाय तिष्ठतु।इदानीम् अहं त्वां पाठं पाठयामि।
नीलम = तुम मुझे इस तरह धमका नहीं सकती। मैं डरने वाली नहीं हूं।|Neelam = You can't threaten me like this. I am not afraid.|नीलम = त्वं माम् इत्थं भाययितुं न शक्नोषि। अहं न बिभेमि।
शीला = तुम मुझसे टक्कर नहीं ले सकती।तुम इस तरह भौंहे क्यों चढ़ा रही हो ?अब बहुत हो गया।अब मैं इस अपमान को बर्दाश्त नहीं कर सकती।|Sheela = You can't compete with me. Why are you frowning like this? It's enough now. I can't tolerate this insult anymore.|शीला = त्वं मया सह द्वन्द्वं कर्तुं न शक्नोषि।त्वम् इत्थं किमर्थं क्रुद्धो भवसि ? इदानीं मया सह अति भूयते।इत्थमपमानं अहं न सहे।
शीला(चिल्लाती हुई)= पुलिस , पुलिस।|Sheela (screaming)= Police, police.|शीला(क्रन्दन्ती)=हे रक्षक! हे रक्षक
पुलिस(नीलम से) =  सुनिए। नियम से ऊपर कोई नहीं है। लाइन का नियम तोड़कर आगे आने का अधिकार किसी को नहीं है। यदि सभी कोई लाइन लगाकर काम करेगा, सभी का काम बहुत जल्दी हो जायेगा।|Police (to Neelam) - Listen. No one is above the rules. No one has the right to break the rule of line and come forward. If everyone works in a line, everyone's work will be done very quickly.|आरक्षक:(नीलमं)=महिले!नियमस्य ऊपरि कापि नास्ति।पङ्क्ते: नियमभङ्गं कृत्वा पङ्क्त्या: अतिक्रमणस्य अधिकार: कस्याश्चिद् नास्ति। यदि सर्वा: पङ्क्तिबद्धाः भूत्वा कार्यं करिष्यन्ति, तर्हि सर्वासां कार्यं शीघ्रमेव भविष्यति।
सिपाही(फिर से बोलते हुए) = अगर आप नियम तोड़कर काम करोगी, तो आपको ऐसा करते देख कर दूसरा कोई भी नियम तोड़कर अपना काम करना चाहेगा। मैं आपसे प्रार्थना करता हूं कि आप लाइन के अनुसार अपने स्थान पर चले जाइए, नहीं तो मुझे आपके साथ सख्ती से पेश आना होगा।|Policeman (speaking again) = If you work by breaking the rules, then seeing you doing so, anyone else will want to do their work by breaking the rules. I request you to move to your place as per the line, otherwise I will have to deal strictly with you.|आरक्षक:(पुनः) = भवती नियमभङ्गं करिष्यति चेत् अपराः अपि भवतीमनुपालयिष्यन्ति। अतः अहं भवते निवेदयामि यत् भवती पङ्क्त्यानुसारं स्वस्थानं गच्छतु, अन्यथा मया बाध्यो भूत्वा भवत्या सह कठोरव्यवहार: करणीय:।
वहां कितनी जगह है?|How much place is there?|तत्र कियत् स्थानमस्ति?
इस बर्थ पर जगह नहीं है।|There is no place in this berth.|अस्यां शायिकायां किमपि स्थानं नास्ति।
