Sanskrit|Hindi|English
सर्वैः अवश्यमेव यमसादनं गन्तव्यम्।|सभी को यमसदन अवश्य जाना होगा।|Everyone must go to Yama's abode.
हे पौलस्त्य! त्वं यमं निगृहाण।|हे पौलस्त्य! आप यम को रोकें।|O Paulastya! You restrain Yama.
तस्मिन् जिते तव सर्वं जितं भविष्यति।|जब आप उसे जीत लेंगे तो आपके लिए सब कुछ जीत लिया जाएगा।|When you win over him, everything will be won for you.
नारदेन एवमुक्तः सः समरप्रियः लङ्केश्वरः प्रहसन् नारदम् अब्रवीत् - अहं तु विजयार्थं रसातलं गन्तुं समुद्यतः अस्मि।|नारद द्वारा इस प्रकार संबोधित किये जाने पर, समरप्रिय लङ्केश्वर हँसे और नारद से कहा: मैं जीत के लिए समुद्र के तल तक जाने के लिए तैयार हूं।|Thus addressed by Narada, the war-loving Lord of Lanka laughed and said to Narada: I am ready to go to the nether regions for victory.
ततः लोकत्रयं जित्वा नागान् सुरान् च वशे स्थापयित्वा अमृतार्थं रसालयं समुद्रं मथिष्यामि।|तब मैं तीनों लोकों को जीत लूंगा, नागों और देवताओं को वश में कर लूंगा और अमृत की प्राप्ति के लिए समुद्र का मंथन करूंगा।|Then I shall conquer the three worlds and subdue the serpents and the gods and churn the ocean, the tasting room for nectar.
ततः देवर्षिः नारदः अब्रवीत् हे तात!|तब देवर्षि नारद ने कहा, हे प्रभु!|Then the devarshi Narada said, O Lord!
अयं खलु प्रेतराजपुरं प्रति मार्गः सुदुर्गम्यः!|यमराज की पुरी के लिए यह वास्तव में एक बहुत ही कठिन रास्ता है!|This is indeed a very difficult road to the city of Yama!
नारदस्य तद् वचनं श्रुत्वा राक्षसः रावणः हसित्वा अब्रवीत् हे महाब्रह्म!|नारद के उस वचन को सुनकर राक्षस रावण हँसा और बोला, हे महाब्रह्मा!|Hearing that word of Narada, the demon Ravana laughed and said, O Mahabrahma!
तस्मादेव अहं वैवस्वतवधोद्यतः दक्षिणामाशां गच्छामि यत्र सूर्यपुत्रः यमः अस्ति।|इसीलिए मैं वैवस्वत को मारकर दक्षिणी क्षेत्र में जाने वाला हूं जहां सूर्य पुत्र यम हैं।|That is why I am about to kill Vaivasvata and go to the southern region where Yama, the son of the sun, is.
हे प्रभो! तव क्रोधात् मया रणार्थिना प्रतिज्ञातं यत् चतुरः लोकपालान् अवजेष्यामि।|हे भगवान! आपके क्रोध से मैंने एक योद्धा के रूप में वादा किया था कि मैं दुनिया के चार अभिभावकों को हरा दूंगा।|O Lord! Due to your anger I promised as a warrior that I would defeat the four guardians of the world.
तेन उद्देश्येन हि सम्प्रति प्रेतराजपुरं प्रति प्रस्थितोऽहम्।|उस प्रयोजन के लिये मैं अब मृतकों के राजा के नगर की ओर निकल पड़ा हूं।|For that purpose I have now set out for the city of Yamadeva.
शीघ्रं हि प्राणिसङ्क्लेशकर्तारं मृत्युना सह योजयिष्यामि।|क्योंकि जो प्राणीयों को सताता है, उसे मैं शीघ्र ही मार डालूंगा।|For soon I will lead the one who causes trouble to the living towards death.
राक्षसः रावणः मुनिम् एवम् उक्त्वा तम् अभिवाद्य च सचिवैः सह दक्षिणामाशां प्रविष्टः अभवत्।|मुनि से ऐसा कहकर राक्षस रावण ने उन्हें प्रणाम किया और अपने सचिवों के साथ दक्षिणी आशा में प्रवेश किया।|The demon Ravana, having thus spoken to the sage, saluted him and entered the southern hope with his secretaries.
ततः देवर्षिः नारदः मुहूर्तं ध्यात्वा अचिन्तयत् यद् द्वितीयः अग्निः इव कालः यः धर्मानुसारं लोकेभ्यः क्लेशं ददाति सः कालः रावणेन कथं जेष्यते!|तब देवर्षि नारद ने एक पल के लिए ध्यान किया और सोचा कि रावण धर्म के अनुसार संसारों को कष्ट देने वाली दूसरी अग्नि को, जो काल भी है, कैसे विजय प्राप्त कर सकता है!|Then the devarshi Narada meditated for a moment and thought how Ravana could conquer time like the second fire which gives trouble to the worlds according to Dharma!
यस्मात् नित्यं भयार्दिताः त्रयः लोकाः विद्रवन्ति तं यमम् असौ राक्षसेश्वरः स्वयं कथं गमिष्यति!|जिनसे तीनों लोक सदैव भयभीत रहते हैं, वे दैत्यराज स्वयं यम के पास कैसे जा सकते हैं?|How can that lord of the demons himself go to Yama, from whom the three worlds are always afraid?
यः विधाता धाता च येन त्रैलोक्यं विजितं तं यमं रावणः कथं जेष्यति!|तीनों लोकों पर विजय प्राप्त करने वाले सृष्टिकर्ता और रचयिता यमराज को रावण कैसे जीत सकता है?|How can Ravana conquer Yama, the creator and the creator who has conquered the three worlds?
मम  कौतूहलं यत् अनयोः यमराक्षसयोः युद्धं द्रष्टुम् अहं स्वयं यमसादनं यास्यामि।|मुझे उत्सुकता है कि इन दोनों यम राक्षसों का युद्ध देखने के लिये मैं स्वयं यमसदन जाऊँगा।|I am curious that I will go to Yamasadan myself to watch the battle between these two Yama demons.
*-प्रदीपः!*|*-प्रदीप!*|*-Pradeep!*
जुहूः|जुहूः|Juhuu
स्त्रीरत्नमाला|स्त्रीरत्नमाला|Striratnamala
(सनातनभारतस्य स्त्रीरत्नानां चरितानि)|(सनातन भारत की महिलाओं के चरित्र)|(Stories of the Women of Sanatan Bharata)
वैदिकमन्त्रद्रष्ट्रीषु ऋषिकासु अन्यतमा जुहूः ब्रह्मणः पुत्री, देवगुरोः बृहस्पतेः पत्नी च अविद्यत।|जुहू, वैदिक मंत्रों को देखने वाले ऋषियों में से एक, ब्रह्मा की बेटी और देवताओं के आध्यात्मिक गुरु बृहस्पति की पत्नी थीं।|Juhuu, one of the female sages who saw Vedic mantras, was the daughter of Brahma and the wife of Brihaspati, the spiritual master of the gods.
एषा सर्वशास्त्रपारङ्गता बृह्मज्ञानपरायणा च आसीत्।|वह सभी शास्त्रों में पारंगत थी और ब्रह्मज्ञान के प्रति समर्पित थी।|She was well versed in all scriptures and devoted to the knowledge of the Brahman.
ऋग्वेदस्य दशममण्डलस्य १०९ तमसूक्तस्य ऋषिकेयम्।|यह ऋग्वेद के दसवें मंडल का 109वां सूक्त के ऋषिका है।|This is the rishika of the 109th Sukta of the Tenth Mandala of the Rig Veda.
कदाचित् सोमेन एतस्याः अपहरणं कृत्वा समागमः कृतः।|एक बार चन्द्रदेव ने उसका अपहरण कर लिया था और उनसे संभोग किया।|At one point of time, the moon god kidnapped her and had sex with her.
तज्ज्ञात्वा वरुणादयः तां प्रत्यानीय बृहस्पतये प्राददन्।|यह जानकर वरुण और अन्य लोग उसे वापस ले आए और बृहस्पति को दे दिया।|When Varuna and others learned of this, they brought her back and gave her to Bṛhaspati. 
पतितापि सा भर्त्रा वा समाजेन वा न तिरस्कृता।|हालाँकि वह गिर गई, लेकिन उसे उसके पति या समाज ने अस्वीकार नहीं किया।|Despite her fall, she was not rejected by her husband or society.
नात्र तस्याः कोऽपि दोषः इति वदतां सप्तर्षीणां वाचमङ्गीकृत्य देवगुरुरपि पुनः तां प्रत्यगृह्णात्।|सप्तर्षियों के शब्दों को स्वीकार करते हुए जिन्होंने कहा कि उसके साथ कुछ भी गलत नहीं था, देवताओं के गुरु ने उसे वापस ले लिया|Accepting the words of the seven sages who said there was nothing wrong with her the preceptor of the gods took her back

नारीबलसंवर्धनस्य विचारं कृवतीषु जुहूः आद्या।|जुहू और अन्य जिन्होंने महिलाओं की ताकत को बढ़ाने पर विचार किया।|Juhu and others who considered the enhancement of women's strength.

'समानगुणविचारभिरुचियुक्तयोः एव विवाहसम्बन्धः भवेत्, विवाहात् प्राक् वधूवरयोः परस्परं अङ्गीकारः आवश्यकः, विवाहानन्तरं पत्या पत्न्याः हिंसनं त्यागः वा नोचितः' इत्यादिविचारान् सा प्रत्यपादयत्।|उन्होंने तर्क दिया, 'शादी का रिश्ता उन लोगों के बीच होना चाहिए जिनके गुण, विचार और रुचियां समान हों, दूल्हा और दुल्हन को शादी से पहले एक-दूसरे को स्वीकार करना चाहिए और पति को शादी के बाद अपनी पत्नी का उल्लंघन नहीं करना चाहिए या उसे छोड़ नहीं देना चाहिए।'|'The marriage relationship should be between those who share the same qualities, ideas and interests, the bride and groom should accept each other before marriage, and the husband should not violate or abandon his wife after marriage,' she argued.
यज्ञविज्ञाने अपारज्ञानं सम्प्राप्तवती एषा तद्विषये बृहस्पतिं बोधितवती। |उन्होंने यज्ञ विज्ञान में अपार ज्ञान प्राप्त किया था और बृहस्पति को इसके बारे में प्रबुद्ध किया था।|She had attained immense knowledge in the science of sacrifice and enlightened Brihaspati about it.
तदनीन्तनकालस्य स्त्रीणां विद्याभ्यासस्तरस्य, समाजे ताभिः प्राप्तम् औन्नत्यञ्च एषा घटना द्योतयति।|यह घटना उस समय की महिलाओं की शिक्षा और अभ्यास के स्तर और समाज में उनके द्वारा हासिल की गई उन्नति को दर्शाती है।|This incident illustrates the level of education and practice of women of the time ,and the advancement they have achieved in society.
सौ.विजया उल्हासः गोखले,रोहा,रायगडः|सुश्री विजया उल्हास: गोखले, रोहा, रायगढ़|Ms. Vijaya Ulhas: Gokhale, Roha, Raigad
