चित्तापहारि नाटकमासीत्।|It was a captivating play.|यह एक मन मोह लेने वाला नाटक था।
अस्मिन् अभियोगे मयि के अपराधाः आरोपिताः।|What charges are levelled against me in this accusation?|इस अभियोग में मुझ पर कौन-कौन से अपराध आरोपित किए गए। 
ते आरोपाः निष्प्रमाणाः निराधाराश्च सन्ति।|Those allegations are baseless and without proof. 
• वे आरोप निराधार और प्रमाणहीन हैं।
साक्ष्यन्तु सविस्तरं दर्शयितास्मि।|But I shall present the evidence in detail.।परंतु मैं साक्ष्य विस्तारपूर्वक प्रस्तुत करूँगा।
स्नेहपूर्णव्यवहारो भवतु भ्रातृषु।|Let there be affectionate relation among brothers.|भाइयों में प्रेमपूर्ण व्यवहार हो।
भवती तु मातृवत् प्रणम्यास्ति।|You should be saluted like a mother would be.|आप तो माता के समान प्रणम्य हैं।
गजाननस्य माता अस्ति सा।|She is the mother of Gajaanan.|वह गजानन की माता हैं।
धैर्यवान् नचिकेताः न बिभेति कस्माच्चन।|The courageous Nachiketa does not fear anything.|धैर्यवान नचिकेता किसी भी वस्तु से नहीं डरता।
आखेटकैः मीनाः गृहीताः।|The fish have been by the hunters.|आखेटकों द्वारा मछलियाँ पकड़ी गईं।
अविवेकादयः परमापदां पदम्।|Indiscretion leads to great calamity.|अविवेक आदि बातें बड़ी आपदा का कारण बनती हैं।
मधुहा मधु सङ्गृह्णाति।|The honey-collector gathers honey.|मधुहारी मधु एकत्र करता है।
सूर्यचन्द्रादयः शाश्वताः सन्ति।|The sun, moon and others are eternal.|सूर्य चन्द्र आदि शाश्वत हैं।
स्वप्रकाशाभावे सूर्यात् प्रकाशं स्वीकरोति चन्द्रः।|Due to the absence of its own light, the moon borrows light from the sun.|अपने प्रकाश के अभाव में चन्द्रमा सूर्य से प्रकाश लेता है।
सार्थकं वस्तु तत्क्षणमेव स्वीक्रियताम्।|A meaningful thing should be accepted instantly.|सार्थक वस्तु को तुरंत ही स्वीकार करना चाहिए।
बलिष्ठाः पक्षिणः सर्पं मारयन्ति।|Strong birds kill the snake.|बलवान पक्षी साँप को मार देते हैं।
लोभचिन्तनं न भवतु जीवने।|Greedy thoughts should not exist in life.|जीवन में लोभ का चिन्तन न हो।
क्षणिकाकर्षणेन जीवनं विनश्यति।|Life is destroyed by momentary attractions.|क्षणिक आकर्षण से जीवन नष्ट हो जाता है।
धैर्यवान् नचिकेताः न बिभेति कस्माच्चन।|The courageous Nachiketa does not fear anything.|धैर्यवान नचिकेता किसी भी वस्तु से नहीं डरता।
आखेटकैः मीनाः गृहीताः।|The fish have been by the hunters.|आखेटकों द्वारा मछलियाँ पकड़ी गईं।
अविवेकादयः परमापदां पदम्।|Indiscretion leads to great calamity.|अविवेक आदि बातें बड़ी आपदा का कारण बनती हैं।
मधुहा मधु सङ्गृह्णाति।|The honey-collector gathers honey.|मधुहारी मधु एकत्र करता है।
सूर्यचन्द्रादयः शाश्वताः सन्ति।|The sun, moon and others are eternal.|सूर्य चन्द्र आदि शाश्वत हैं।
स्वप्रकाशाभावे सूर्यात् प्रकाशं स्वीकरोति चन्द्रः।|Due to the absence of its own light, the moon borrows light from the sun.|अपने प्रकाश के अभाव में चन्द्रमा सूर्य से प्रकाश लेता है।
सार्थकं वस्तु तत्क्षणमेव स्वीक्रियताम्।|A meaningful thing should be accepted instantly.|सार्थक वस्तु को तुरंत ही स्वीकार करना चाहिए।
बलिष्ठाः पक्षिणः सर्पं मारयन्ति।|Strong birds kill the snake.|बलवान पक्षी साँप को मार देते हैं।
लोभचिन्तनं न भवतु जीवने।|Greedy thoughts should not exist in life.|जीवन में लोभ का चिन्तन न हो।
क्षणिकाकर्षणेन जीवनं विनश्यति।|Life is destroyed by momentary attractions.|क्षणिक आकर्षण से जीवन नष्ट हो जाता है।
सरोवरस्य जले चन्द्रिका विलसति।|The moonlight plays on the water of the lake.|सरोवर के जल में चाँदनी विलास करती है।
मेघनादं श्रुत्वा मयूरो वने नृत्यति।|Having heard the roar of the clouds, the peacock dances in the forest.|बादलों का गरजना सुनकर, मोर जंगल में नाचता है।
कवेः शब्दाः अमरपुष्पाणि इव शोभन्ते।|The poet's words shine like immortal flowers.|कवि के शब्द अमर पुष्पों की भांति सुशोभित होते हैं।
पङ्के जातमपि कमलं पङ्केन न लिप्यते।|Though born in the mud, the lotus is not smeared by the mud.|कीचड़ में उत्पन्न होते हुए भी कमल कीचड़ से लिप्त नहीं होता है।
चञ्चलं हि मनः वेगवान् तुरङ्ग इव।|Indeed, the restless mind is like a swift horse.|चंचल मन तो एक वेगवान् घोड़े के समान है।
वीरस्य कीर्तिः घोरान्धकारे दीपशिखेव प्रकाशते।|The glory of a hero shines forth like a lamp's flame in deep darkness.|वीर की कीर्ति घोर अन्धकार में दीपक की लौ के समान प्रकाशित होती है।
नदी कलकलनादेन सागरं प्रति सततं प्रवहति।|The river continuously flows towards the ocean with a murmuring sound.|नदी कलकल ध्वनि के साथ सागर की ओर निरंतर बहती है।
ज्ञानमेव परमं चक्षुः यदज्ञानतिमिरं नाशयति।|Knowledge itself is the supreme eye which destroys the darkness of ignorance.|ज्ञान ही परम नेत्र है जो अज्ञान के अन्धकार को नष्ट करता है।
प्रभाते कोकिलस्य मधुरः स्वरः कर्णौ सुखयति।|In the morning, the sweet voice of the cuckoo pleases the ears.|सवेरे कोयल का मधुर स्वर कानों को सुख देता है।
कालः एव अजेयो योद्धा सर्वेषां जेता।|Time alone is the unconquerable warrior, the defeater of all.|काल ही अजेय योद्धा, सबका विजेता है।
कस्मिन् नगरे वससि।|In which city do you live?|तुम किस नगर में रहते हो। 
तदानीं स मम गृहमागतः।|At that time, he had come to my house.|तब वह मेरे घर आया था।
आवयोः सुखसंवादः जातः।|A pleasant conversation took place between two of us.|हम दोनों के बीच सुखद वार्तालाप हुआ।
तेन स्नेहसम्बन्धः पुनर्नवीभूतः।|The bond of affection was renewed because of that.|उससे स्नेह का संबंध फिर से नवीन हो गया।
स्वकथनस्य प्रमाणं देहि।|Give the proof of your statement.|अपने कथन का प्रमाण दो।
केन ते प्रोत्साहिताः।|By whom were they encouraged?|तुम्हें किसने प्रोत्साहित किया। 
कस्यां पत्रिकायां मम चित्रं मुद्रितम्।|My photo is printed in which magazine?|कौन-सी पत्रिका में मेरा चित्र छपा था। 
आवुत्तवार्तां सर्वे शृण्वन्ति।|Everyone listens to what brother-in-law says.|सब लोग आवुत्त की बातें सुनते हैं।
तदपघातं श्रुत्वा सपदि एव सर्वे निर्गताः गृहात्।|Upon hearing about the accident, everyone came out of the house immediately.|उस दुर्घटना को सुनकर तुरंत ही सब लोग घर से बाहर निकल आए।
विदुषः वाणी कर्णप्रिया अस्ति।|The speech of a wise person is pleasing to the ears.|विद्वान् की वाणी कर्ण प्रिय है।
श्याममेघान् दृष्ट्वा मयूरः स्वकलापं प्रसार्य नृत्यति।|After seeing the dark clouds, the peacock dances, spreading its tail.|काले बादलों को देखकर, मोर अपने पंख फैलाकर नाचता है।
चन्द्रशुभ्रो मरालः कमलशोभिते सरोवरे विहरति।|The swan, white as the moon, moves in the lake adorned with lotuses.|चन्द्रमा के समान श्वेत हंस, कमलों से सुशोभित तालाब में विहार करता है।
हिमाच्छादितेषु पर्वतशिखरेषु चन्द्रिका रजतवत् शोभते।|Moonlight shines like silver on the snow-covered mountain peaks.|बर्फ से ढकी पहाड़ की चोटियों पर चाँदनी चाँदी की भांति चमकती है।
प्रियजनस्य स्मृतिः चित्ते कुसुमगन्ध इव विलसति।|The memory of a loved one lingers in the mind like the fragrance of a flower.|प्रियजन की स्मृति हृदय में फूल की गंध की भांति विलास करती है।
नद्याः कलकलध्वनिः पथिकानां श्रान्तिं हरति।|The gentle murmur of the river removes the weariness of the travellers.|नदी की कलकल ध्वनि यात्रियों की थकान हर लेती है।
ज्ञानी पुरुषः ज्ञानचक्षुषा सर्वभूतेषु एकत्वं पश्यति।|The wise man sees oneness in all beings with the eye of knowledge.|ज्ञानी पुरुष ज्ञान-चक्षु से सभी प्राणियों में एक तत्त्व देखता है।
सत्साहसी पुरुषः विपत्तिकालेऽपि स्वकर्तव्यान्न विचलति।|A courageous man not waver from his duty even in a time of calamity.|साहसी पुरुष विपत्ति के समय में भी अपने कर्तव्य से विचलित नहीं होता।
गभीरेषु विचारेषु मग्नस्य मुनेः मौनमेव उत्तरम्।|For a sage absorbed in deep thoughts, silence itself is the answer.|गहरे विचारों में डूबे हुए मुनि का मौन ही उत्तर है।
चापान्मुक्तः शरः विद्युद्वेगेन लक्ष्यमभिगच्छति।|The arrow released from the bow approaches the target with the speed of lightning.|धनुष से छूटा हुआ बाण बिजली की गति से लक्ष्य की ओर जाता है।
सायङ्काले आश्रमे यज्ञधूमः गगनमभिलक्ष्य उद्गच्छति।|In the evening at the hermitage, the smoke of the sacrifice rises towards the sky.|संध्याकाल में आश्रम में यज्ञ का धुआँ आकाश की ओर ऊपर उठता है।
