Sanskrit|English|Hindi
शिखया परिव्राजकम्|a Parivrajaka by a tuft of hair|
पित्रा/पितरं संजानीते|he knows his father|
मात्रा/मातरं संजानीते|he knows his mother|
विद्यया यशः|by learning there is produced fame|
धनेन कुलम्|by wealth, family|
कन्यया शोकः|by daughter there is grief|
शतेन बन्धितः|a debt of hundred has thrown him in prison|
शतात् बद्धः|he has been bound on account of a debt of a hundred pieces|
पाण्डित्येन/पाण्डित्यात् मुक्तः|saved through learning|
जाड्येन/जाड्यतः वा बद्धः|he has been bound by reason of his dullness
अन्नस्य हेतोर्वसति|he dwells for the sake of food|
कार्त्तिक्याः आग्रहायणी मासे|Agrahayana is one month from Kartika|
गवीधूमतः साङ्काश्यं चत्वारि योजनानि/चतुर्षु योजनेषु|Sankasya is from Gavidhuma four yojanas|
मासस्य द्विर्-अधीते|He studies two weeks in a month|
क्रोशात् दूरे एकक्षेत्रभूतः पर्वतः|one side of the mountain is a mile away|
अन्यः/भिन्नः/इतरः/अर्थान्तरं/विलक्षणः देवदत्तात्|different from Devadatta|
आरात् देवदत्तात्|remote from or near to Devadatta|
ग्रामस्य दक्षिणतः उत्तरतः पुरस्तात् उपरि वा|to the south or north, foremost, in or above the village|
दक्षिणेन ग्रामम्/ग्रामस्य|south of the village|
रामात्/रामेण/रामं विना/पृथक्/नाना|without or different from Rama|
स्तोकात्/स्तोकेन मुक्तः|he got off easily|
अल्पान् मुक्तः|he got off easily|
अल्पेन मुक्तः|he got off easily|
स्तोकेन विषेन हतः|killed by a little poison|
अल्पेन मधुना मत्तः|killed by a little poison|
स्तोकं मुञ्चति|he loosens a little|
ग्रामात्/ग्रामस्य वनं दूरं विप्रकृष्टं/अन्तिकं/अभ्याशं/निकटं/समीपम्|the forest is distant or near or to the village|
दूरं/दूरात्/दूरेण ग्रामस्य|far from the village|
अन्तिकात्/अन्तिकेन/अन्तिकं ग्रामस्य|near the village|
अधीती व्याकरणे|versed in grammar|
परिगणिती यज्ञिके|well versed in sacrificial rites|
आम्नान्ती छन्दसि|well read in the Veda|
मातरि साधुः असाधुः वा|well behaved or ill-behaved towards his mother|
ऋद्धेषु भुञ्जानेषु दरिद्रा आसते|the poor are sitting, while the rich are eating|
दरिद्रेषु आसीनेषु ऋद्धाः भुञ्जते|the rich are eating, while the poor being seated|
चर्मणि द्वीपिनं हन्ति|Man kills the tiger for his skin|
दन्तयोः हन्ति कुञ्जरम्|the elephant for his tusks|
केशेषु चमरीं हन्ति|for chamari cow for her hair|
सोम्नि पुष्कलकः हतः|and the musk-deer for its musk|
गोषु दुह्यमानासु गतः|the cows being milked, he went away|
दुग्धासु आगतः|returned when they were milked|
अग्निषु हूयमानेषु गतः|the oblations being offered he went|
हुतेषु आगतः|returned when oblations done|
तस्याः रुदतः/तस्यां रुदति प्राव्राजीत्|in spite of her weeping, he went away
नन्दाः पशवः इव हताः पश्यतः राक्षसस्य|the Nandas were killed like so many beasts Rakshasa looking on
ग्रामाय गच्छति|he goes to the village|
यागाय गच्छति|he goes for the homa (to do it or to see it)|
गवां/गोषु स्वामी/ईश्वर|master of cows|
गोषु साक्षी/प्रतिभूः|witness/surety of the cows|
गवां दायादः|heir to the cows|
गवाम्/गोषु अधिपतिः|lord of the cows|
आयुक्तः/कुशलः कटकरणे/कटकरणस्य|deeply absorbed in mat-making|
आयुक्तः गौ शकटे|the cow is slightly yoked to the cart|
गवां/गोषु कृष्णाः बहुक्षीराः|among cows the black one gives much milk|
मनुष्याणां/मनुष्येषु क्षत्रियः शूरतमः|the kshatriya is the bravest among men|
उर्वशी इतराभिः सुन्दरतरा|Urashi is more beautiful than others|
साधुः भृत्यः राज्ञः|the servant is good towards the king|
साधुः देवदत्तः मातरं प्रति|Devadatta is good behaved towards his mother|
निद्रायां/निद्रया उत्सुकः|longing for sleep|
केशैः/केशेषु प्रसितः|attentive towards hair|
मधुनः जानीते|he engages in sacrifice with honey|
सर्पिषः दयते|he gives clarified butter|
मातुः अध्येति|he remembers the mother|
नायं गात्राणाम् ईष्टे|he can not rule his limbs|
एधः (उ)दकस्य उपस्कुरुते|the wood gives a new quality to the water|
एधः (उ)दकस्य उपस्कुरुते|he prepares the wood and water for sacrifice|
चौरस्य रुजति रोगः|the disease afflicts the thief|
चौरस्य आमयति आमयः|the disease afflicts the thief|
नदी कूलानि रुजति|the river breaks the banks|
चौरं ज्वरयति ज्वरः|the fever burns the thief|
चौरं सन्तापयति तापः|the fever burns the thief|
चौरस्य उज्जासयति/निप्रहन्ति/निहन्ति/प्रहन्ति/प्रणिहन्ति/उन्नाटयति/क्राथयति/पिनष्टि|he injures the thief|
धानाः पिनष्टि|he pounds the barley|
चौरं हिनस्ति/विहन्ति|kills the thief|
शतस्य व्यवहरति/पणते|he deals in, or stakes hundred|
शलाकां व्यवहरति|he throws the dice|
ब्राह्मणान् पणायते|he praises the Brahmanas|
शतं पणते|he stakes a hundred|
ब्राह्मणं दीव्यति|he jokes with the Brahmana|
शतस्य/[शतं प्रति] दीव्यति|he stakes or deals in a hundred|
शलाकां प्रति दीव्यति|he throws the missile|
अग्नये छागं हविर्वपां मेदः जुहुधि|send to fire as oblation, the goat, the fat, and the marrow|
पयसः पानं यज्ञदत्तेन|the drinking of milk by Yajnadatta|
रोचते मे ओदनस्य भोजनं देवदत्तेन|The eating of rice by Devadatta pleases me|
दास्याः कामुकः|lusting for the slave|
कटानां कर्ता|maker of cots|
कटानां कारकः|maker of cots|
कटान् कर्ता|accustomed to make cots|
कटं कर्ता|accustomed to make cot|
वदिता जनापवादानाम्|sayer of public abuses|
वदिता जनापवादान्|sayer of public abuses|
अधीयन् पारायणम्|studier of paaraayana|
ग्रामं गमी|e has to go to the village|
ग्रामी|he has to go to the village|
शतं दायी|he owes hundred|
यवानां लावकः|the cutter of barley|
सक्तूनां पावकः|the purity of the suktas|
वर्षशतस्य पूरकः|fulfiller of the 100 years|
पुत्रपौत्राणां दर्शकः|viewer of the children and grandchildren|
अवश्यं करी कटस्य|of course the maker of the cot|
स्वे पुत्त्राः|one's own sons|
स्वाः पुत्राः|one's own sons|
स्वे गावः|one's own cows|
स्वाः गावः|one's own cows|
स्वाः ज्ञातयः|these kinsmen|
प्रभूताः स्वाः|much riches|
एधः दकस्य उपस्कुरुते|The firewood imparts quality (of heat) to water.|
गात्राणाम् ईष्टे|he rules the limbs|
सर्पिषः जानीते|he is engaged in a ritual accomplished with ghee|
एधः दकस्य उपस्कुरुते|he prepares the wood and water for sacrifice|
परीक्षायाः उत्तरणम्|passing of the exam|
रामेण बाणेन हतः बाली|Bali was killed by Rama with an arrow|
देवदत्तम् शतम् मुष्णाति|he steals 100 from devadatta|
सुधाम् क्षीरनिधिम् मथ्नाति|he churns the ocean of milk for amrit|
शतम् जयति देवदत्तम्|he wins over devadatta for a 100|
शतम् जयति देवदत्तम्|he wins from devadatta a 100|
आचार्यः शिष्यम् विद्याम् ब्रूते/शास्ति|teacher teaches the student knowledge|
वृक्षम् अविचिनोति फलानि|he harvests/collects fruits from the tree|
व्रजम् अवरुणद्धि गाम्|he restricts the wandering of the cow|
गर्गान् शतम् दण्डयति|he fines the gargas a 100|
तण्डुलान् ओदनम् पचति|he cooks raw rice into boiled|
बलिम् याचते वसुधाम्|he asks bali for land|
गाम् दोग्धि पयः|he milks the cow|
ग्रामम् अजम् नयति/हरति/कर्षति/वहति|he takes the goat to the village|
