Hindi|English|Sanskrit
जहाँ लोगों की सोच समाप्त होती वहीं से इन दोनों महानुभवों की सोच प्रारम्भ होती है।|Where people stop thinking that is where the the thoughts of both these gentlemen start.|यात्रा जनानां विचाराः समाप्ताः भवन्ति तत्र एव एतेषां भद्रलोकयोः विचारः आरभ्यते।
वह राम और श्याम के बीच कुर्सी पर बैठ गया|He sat between Ram and Shyam.|स रामं शयामं चान्तरा आसन्दम् अध्यास्त।
पति और पत्नी पनीर चिल्ली खाने के लिए रेस्टोरेंट में जाकर अपने अपने कुर्सी पर बैठ गये।|Husband and wife went to sit in the restaurant to eat chilli paneer.|भर्ता भार्या च अल्पाहारगृहं गत्वा महामरीचिकायुक्तप्राणीरं व्यञ्जनं भक्षयितुं स्वस्वासन्दम् अध्यासाताम्।
सभी लोग प्रवचन सुनने के लिए अपने अपने आसनों पर बैठ गये।|All sat in their seats to listen to the speech.|सर्वे जना: प्रवचनस्य श्रवणाय स्वस्वासनम् अध्यासत।
तुम बिछावन पर पलठी मारकर क्यों बैठ गये?|Why did you turn and sit on the bed?|युवां शय्यां किमर्थं स्वस्तिकासनम् अध्यास्था:?
तुम दोनों मुझसे बिना पूछे ही अपने अपने बेंच पर क्यों बैठ गये?|Why did the two of you sit on your benches without asking me?|युवां मम आज्ञामन्तरेणैव किमर्थं स्वकीयं स्वकीयम् आसनम् अध्यासाथाम्?
शिक्षक ने जैसे ही तुम लोगों को बैठने के लिए कहा, तुम लोग तुरन्त ही अपने-अपने बेंचों पर बैठ गए।|No sooner had the teacher asked you guys to sit down, than you sat down on your seats.|शिक्षकः यदा उपवेष्टुमाज्ञापितवान् तदा यूयं झटिति स्वकीयं स्वकीयं पीठिकाम् अध्याध्वम्।
भयंकर गर्मी के कारण सुस्ताने के लिए मैं एक वृक्ष के नीचे जमीन पर ही बैठ गया।|To take rest from the scorching heat, I sat below a tree.|।प्रचण्डातपै: विश्रामं कर्तुम् अहम् एकस्मात् वृक्षात् अध: भूमिमेव अध्यासि।
बस में हमदोनों अपने अपने सीट पर बैठ गए।|The both of us sat down in our seats in the bus.|लोकयाने आवां स्वस्वासनम् अध्यास्वहि।
हमलोग वर्ग में पढ़ने के लिए अपने अपने बेंचों पर बैठ गए।|We sat in our benches for group study|वयं वर्गे अध्ययनाय स्वसवासनम् अध्यास्महि।
एयर टाइट जार में स्टोर करें।|Store in an air-tight jar.|वायुरोधकघट्टयां संग्रहणं करोतु।
कुछ लोग इसमें खटाई के लिए नींबु/आमचूर पाउडर का भी इस्तेमाल करते हैं।|Some people use lemon or aamchur powder to make sour.|केचन जनाः अम्लतायाः कृते निम्बुकस्य शुष्काम्रचूर्णस्य वापि उपयोगं कुर्वन्ति।
लेकिन इसके बिना भी यह राई के अधिक इस्तेमाल की वजह से खट्टा हो जाता है।|But even without this it becomes sour due to excessive use of mustard.|परन्तु एतत् विना अपि रक्तसर्षपस्य अतिप्रयोगात् एतत् अम्लीयं भवति।
दूसरे अचारों की तुलना मे इसमें नमक थोड़ा ज्यादा डाला जाता है जो इसे प्रीज़र्व करने में मदद करता है।|Compared to other pickles, a little more salt is added in it which helps in preserving it.|अन्येभ्यः सन्धितेभ्यः अपेक्षया एतस्मिन् किञ्चित् अधिकं लवणं निक्षिप्यते यत् एतस्य संरक्षणे सहायकं भवति।
राई 1/2 कप।|Half a cup of mustard.|रक्सतर्षपः अर्धचषकपरिमित:।
हरी मिर्च ढाई सौ ग्राम।|Green chillies 250 grams.|हरितमरिचं पञ्चाशदधिकद्विशतं ग्रामपरिमितम्।
सौंफ 1/4 कप।|Fennel 1/4 cup.|मधुरा चतुर्थांशचषकपरिमिता।
मेथी 1/4 कप।|Fenugreek 1/4 cup.|मेथिका चतुर्थांशचषकपरिमिता।
लाल मिर्च स्वादानुसार (ऐच्छिक)।|Red chilli as per taste|रक्तमरिचम् ऐच्छिकस्वादानुसारम्।
नमक 2 टेबल स्पून/स्वादानुसार।|Salt 2 tbsp/as per taste.|लवणं चमसद्वयपरिमितम् स्वादानुसारम्
हल्दी 1 टेबल स्पून।|Turmeric 1 tablespoon.|काञ्चनी एकचमषपरिमिता
सरसों का तेल 2 टेबल स्पून।|Mustard oil 2 tablespoon.|सर्षपतैलं द्विचमसपरिमितम्।
