Sanskrit|English|Hindi  
मम धनं तु भुक्तम्।|My wealth, however, has been consumed.|मेरा धन तो खा लिया गया।
सीते न विना त्वां मनो रमते मे।|O Sita, without you my mind does not delight.|हे सीता, तुम्हारे बिना मेरा मन नहीं रमता।
महाभारते अभूते न भारतं दुर्दिनम् अद्रक्ष्यत्।|Had the Mahabharata not happened, India would not have seen the bad day.|महाभारत न होने पर भारत ने दुर्दिन न देखा होता।
लोकहिताय वाहननिर्माणशालेयम्।|This vehicle repairing garage is for public welfare.|यह वाहन-निर्माण-शाला लोकहित के लिए है।
स यज्ञशिष्टम् एव भक्षति।|He eats only the remnants of the sacrifice.|वह यज्ञ के शेष भाग को ही खाता है।
कस्यै धनम् अर्जयसि।|For whom (fem.) do you earn wealth?|तुम किसके (स्त्री॰) लिए धन कमाते हो।
आत्मनि भारो मा भूः।|Do not be a burden on yourself.|स्वयं पर भार मत बनो।
वृक्षात् पत्त्रम् अपप्तत्।|A leaf has fallen from the tree.|वृक्ष से पत्ता गिर चुका है।
जानकी कस्य पुत्त्री बभूव आचार्य।|Whose daughter was Janaki, O Teacher?|जानकी किसकी बेटी थी, आचार्य?
भोः त्वं मम मित्रं नासि।|Mister! you are not my friend.|जी, तुम मेरे मित्र नहीं हो।
गत्वा तस्य हस्ताक्षरम् आनय।|Go and bring his signature.|जाकर उसका हस्ताक्षर लाओ।
मां पुष्पम् इव मन्यसे किम् अग्निरिवाहम्।|Do you consider me like a flower? I am like fire.|मुझे फूल जैसा समझे हो क्या? मैं अग्नि जैसा हूँ।
मातामहि तव मयूरी कुत्र गता।|Grandmother (maternal), where has your peahen gone?|नानी, तुम्हारी मोरनी कहाँ गई।
तव भगिनी मया सह अक्रीडीत्।|Your sister has played with me.|तुम्हारी बहन मेरे साथ खेल चुकी है।
तस्या पत्युः नाम प्रफुल्लः।|Her husband's name is Prafulla.|उसके पति का नाम प्रफुल्ल है।
तत्र कुत्र तस्य निवासः।|Where is his residence there?|वहाँ कहाँ उसका निवास है।
इन्द्रियाणि इन्द्रियार्थेभ्यो निर्दिष्टाः।|The senses are directed to be for the objects of the senses.|इन्द्रियाँ इन्द्रियों के विषयों के लिए बताई गई हैं।
